nome_aluno,forma_ingresso
Carolina Valentina,VESTIBULAR
Mauricio Felipe,VESTIBULAR
Lorena Daniel,VESTIBULAR
Vitor Marcelo,VESTIBULAR
Maria Lara,VESTIBULAR
Sophia Felipe,VESTIBULAR
Maria Valentina,VESTIBULAR
Felipe Elisa,VESTIBULAR
Diego Thiago,VESTIBULAR
Felipe Luca,VESTIBULAR
Elisa Diego,VESTIBULAR
Melissa Vitoria,VESTIBULAR
Paula Amanda,VESTIBULAR
Diego Joao,VESTIBULAR
Matheus Amanda,VESTIBULAR
Maria Carolina,VESTIBULAR
Alice Michele,VESTIBULAR
Marcelo Bruno,VESTIBULAR
Paula Lais,VESTIBULAR
Michele Eduarda,VESTIBULAR
