nome_aluno,forma_ingresso
Fernanda Lorena,VESTIBULAR
Thales Renato,VESTIBULAR
Elisa Valentina,VESTIBULAR
Vitor Vitor,VESTIBULAR
Vitor Fernanda,VESTIBULAR
Elisa Paula,VESTIBULAR
Nicolas Hugo,VESTIBULAR
Sophia Viviane,VESTIBULAR
Diego Valeria,VESTIBULAR
Mariana Diego,VESTIBULAR
Laura Bianca,VESTIBULAR
Marcelo Vanessa,VESTIBULAR
Eduardo Guilherme,VESTIBULAR
Sophia Leticia,VESTIBULAR
Roberto Lais,VESTIBULAR
Luan Maria,VESTIBULAR
Eduardo Rafael,VESTIBULAR
Vitor Miguel,VESTIBULAR
Vitor Matheus,VESTIBULAR
Luca Juliana,VESTIBULAR
Leticia Matheus,VESTIBULAR
Vitoria Livia,VESTIBULAR
Diego Caio,VESTIBULAR
Lucas Pedro,VESTIBULAR
Valeria Elisa,VESTIBULAR
Clara Matheus,VESTIBULAR
Amanda Luana,VESTIBULAR
