nome_aluno,forma_ingresso
Nicolas Leonardo,VESTIBULAR
Luca Mateus,VESTIBULAR
Livia Diego,VESTIBULAR
Emilly Manuela,VESTIBULAR
Eduardo Fernando,VESTIBULAR
Rafael Yuri,VESTIBULAR
Juliana Helena,VESTIBULAR
Lais Fernando,VESTIBULAR
Alice Cecilia,VESTIBULAR
Camila Alice,VESTIBULAR
Evelyn Otavio,VESTIBULAR
Sofia Emilly,VESTIBULAR
Carolina Matheus,VESTIBULAR
Leticia Caua,VESTIBULAR
Joao Leonardo,VESTIBULAR
Felipe Daniel,VESTIBULAR
Renato Maria,VESTIBULAR
Alice Valeria,VESTIBULAR
Otavio Camila,VESTIBULAR
Juliana Leonardo,VESTIBULAR
Elisa Renato,VESTIBULAR
Bruna Wagner,VESTIBULAR
Joao Cecilia,VESTIBULAR
Wagner Joao,VESTIBULAR
Renan Viviane,VESTIBULAR
