nome,status
Vanessa Rafael,DESVINCULADO
Mauricio Fernando,DESVINCULADO
Luana Joao,DESVINCULADO
Gustavo Matheus,DESVINCULADO
Wagner Isabela,DESVINCULADO
DOCENTE(S): -----------.,DESVINCULADO
Leonardo Luana,DESVINCULADO
Luana Diego,CURSANDO
Mariana Laura,CURSANDO
Isabela Maria,DESVINCULADO
Maria Fernando,CURSANDO
Luana Lucas,DESVINCULADO
Miguel Nathanael,FORMADO
Eduardo Nathanael,DESVINCULADO
Caua Juliana,DESLIGAMENTO
Gabriel Fernando,FORMADO
Rodrigo Pedro,DESLIGAMENTO
Gustavo Rafael,DESVINCULADO
Cecilia Viviane,FORMADO
