nome_aluno,forma_ingresso
Paula Ricardo,VESTIBULAR
Leticia Miguel,VESTIBULAR
Vitoria Diego,VESTIBULAR
Yuri Sofia,VESTIBULAR
Felipe Mauricio,VESTIBULAR
Mariana Guilherme,VESTIBULAR
Laura Cecilia,VESTIBULAR
Jose Sofia,VESTIBULAR
Renan Caio,VESTIBULAR
Vinicius Mauricio,VESTIBULAR
Elisa Guilherme,VESTIBULAR
DOCENTE(S): -----------.,VESTIBULAR
Mariana Carolina,VESTIBULAR
Maria Vinicius,VESTIBULAR
Leticia Sofia,VESTIBULAR
Sofia Laura,VESTIBULAR
Manuela Luan,VESTIBULAR
Camila Marcos,VESTIBULAR
Caio Thales,VESTIBULAR
Luiz Paula,VESTIBULAR
Isadora Clara,VESTIBULAR
Thiago Manuela,VESTIBULAR
Lucas Vitor,VESTIBULAR
Cecilia Manuela,VESTIBULAR
Roberto Maria,VESTIBULAR
Wagner Bianca,VESTIBULAR
