nome,status
Paula Ricardo,DESVINCULADO
Leticia Miguel,DESVINCULADO
Vitoria Diego,DESVINCULADO
Yuri Sofia,CURSANDO
Felipe Mauricio,DESLIGAMENTO
Mariana Guilherme,DESLIGAMENTO
Laura Cecilia,DESVINCULADO
Jose Sofia,DESLIGAMENTO
Renan Caio,DESLIGAMENTO
Vinicius Mauricio,DESVINCULADO
Elisa Guilherme,FORMADO
DOCENTE(S): -----------.,DESLIGAMENTO
Mariana Carolina,DESVINCULADO
Maria Vinicius,FORMADO
Leticia Sofia,FORMADO
Sofia Laura,DESVINCULADO
Manuela Luan,CURSANDO
Camila Marcos,DESLIGAMENTO
Caio Thales,DESLIGAMENTO
Luiz Paula,CURSANDO
Isadora Clara,DESVINCULADO
Thiago Manuela,FORMADO
Lucas Vitor,FORMADO
Cecilia Manuela,DESVINCULADO
Roberto Maria,FORMADO
Wagner Bianca,CURSANDO
