nome_aluno,forma_ingresso
Leticia Marcelo,VESTIBULAR
Eduarda Thales,VESTIBULAR
Sophie Leandro,VESTIBULAR
Amanda Caroline,VESTIBULAR
Lais Thales,VESTIBULAR
Carolina Pedro,VESTIBULAR
Isabela Carolina,VESTIBULAR
Leticia Catarina,VESTIBULAR
Fernando Yuri,VESTIBULAR
Amanda Marcelo,VESTIBULAR
Valentina Diego,VESTIBULAR
Camila Beatriz,VESTIBULAR
Mauricio Alana,VESTIBULAR
Isabela Natalia,VESTIBULAR
Luana Nicolas,VESTIBULAR
Enzo Evelyn,VESTIBULAR
Sophie Caio,VESTIBULAR
Diego Amanda,VESTIBULAR
Eduarda Maria,VESTIBULAR
Nathanael Mauricio,VESTIBULAR
Mariana Beatriz,VESTIBULAR
Eloah Alice,VESTIBULAR
Thales Isabela,VESTIBULAR
Beatriz Marcelo,VESTIBULAR
Paula Luana,VESTIBULAR
Paula Isabela,VESTIBULAR
