nome_aluno,forma_ingresso
Vanessa Rafael,VESTIBULAR
Mauricio Fernando,VESTIBULAR
Luana Joao,VESTIBULAR
Gustavo Matheus,VESTIBULAR
Wagner Isabela,VESTIBULAR
DOCENTE(S): -----------.,VESTIBULAR
Leonardo Luana,VESTIBULAR
Luana Diego,VESTIBULAR
Mariana Laura,VESTIBULAR
Isabela Maria,VESTIBULAR
Maria Fernando,VESTIBULAR
Luana Lucas,VESTIBULAR
Miguel Nathanael,VESTIBULAR
Eduardo Nathanael,VESTIBULAR
Caua Juliana,VESTIBULAR
Gabriel Fernando,VESTIBULAR
Rodrigo Pedro,VESTIBULAR
Gustavo Rafael,VESTIBULAR
Cecilia Viviane,VESTIBULAR
