nome,status
Luana Felipe,DESVINCULADO
Caroline Sophia,DESVINCULADO
Catarina Renan,FORMADO
Elisa Valentina,DESVINCULADO
Thiago Otavio,FORMADO
Lais Clara,DESVINCULADO
DOCENTE(S): -----------.,DESLIGAMENTO
Nicolas Hugo,DESVINCULADO
Sophie Diego,DESVINCULADO
Leticia Amanda,FORMADO
Vinicius Hugo,DESLIGAMENTO
Pedro Arthur,DESVINCULADO
Bruno Elisa,DESLIGAMENTO
Cecilia Marcos,DESLIGAMENTO
Eduardo Nicolas,DESLIGAMENTO
Rafael Alice,DESVINCULADO
Gabriel Diego,DESLIGAMENTO
Matheus Larissa,DESVINCULADO
Jose Vitoria,FORMADO
Renato Caio,FORMADO
Felipe Enzo,FORMADO
Ricardo Renan,DESVINCULADO
Jose Wagner,DESLIGAMENTO
Luana Vinicius,DESVINCULADO
Alice Beatriz,FORMADO
Alice Natalia,DESLIGAMENTO
Helena Mariana,DESVINCULADO
Caio Vanessa,DESVINCULADO
Juliana Pablo,DESVINCULADO
Luciana Sophie,DESVINCULADO
Gabriel Emilly,DESLIGAMENTO
