nome_aluno,forma_ingresso
Gabriel Enzo,VESTIBULAR
Juliana Luca,VESTIBULAR
Lara Joao,VESTIBULAR
Luciana Luca,VESTIBULAR
Melissa Gustavo,VESTIBULAR
Diego Vitoria,VESTIBULAR
Mauricio Paula,VESTIBULAR
Fernando Eduarda,VESTIBULAR
Thiago Eduardo,VESTIBULAR
DOCENTE(S): -----------.,VESTIBULAR
Vitoria Isadora,VESTIBULAR
Lais Raul,VESTIBULAR
Amanda Emilly,VESTIBULAR
Sophie Vinicius,VESTIBULAR
Mauricio Helena,VESTIBULAR
Natalia Caroline,VESTIBULAR
Catarina Nicolas,VESTIBULAR
Alice Eloah,VESTIBULAR
Daniel Nathanael,VESTIBULAR
Lorena Eloah,VESTIBULAR
Maria Raul,VESTIBULAR
Vitor Rafael,VESTIBULAR
Guilhermina Alice,VESTIBULAR
Fernanda Felipe,VESTIBULAR
Renato Carolina,VESTIBULAR
Fernando Evelyn,VESTIBULAR
Elisa Valentina,VESTIBULAR
Renato Rafael,VESTIBULAR
Renato Luciana,VESTIBULAR
Evelyn Vinicius,VESTIBULAR
