nome,status
Elisa Valentina,FORMADO
DOCENTE(S): -----------.,DESVINCULADO
Carolina Rafael,DESLIGAMENTO
Maria Pedro,REINTEGRAÇÃO
Pablo Amanda,DESVINCULADO
Joao Miguel,DESLIGAMENTO
Alana Camila,FORMADO
Paula Felipe,DESLIGAMENTO
Mauricio Diego,DESVINCULADO
Thales Julia,FORMADO
Camila Ricardo,DESLIGAMENTO
Leticia Paula,DESVINCULADO
Enzo Vanessa,FORMADO
Nicolas Ricardo,DESLIGAMENTO
Pablo Melissa,CURSANDO
Miguel Wagner,DESLIGAMENTO
Diego Fernando,CURSANDO
Vanessa Leticia,DESVINCULADO
Raul Maria,DESVINCULADO
Bruna Diego,FORMADO
Helena Alice,CURSANDO
Amanda Lucas,DESLIGAMENTO
Melissa Leonardo,DESLIGAMENTO
Larissa Julia,DESVINCULADO
Mauricio Eduarda,DESLIGAMENTO
Miguel Eduardo,DESLIGAMENTO
Eduarda Mauricio,DESLIGAMENTO
Yuri Sophia,DESLIGAMENTO
Sophie Daniel,FORMADO
Alice Caio,FORMADO
Yuri Isabela,CURSANDO
Carolina Bianca,CURSANDO
Valentina Juliana,DESLIGAMENTO
