nome_aluno,forma_ingresso
Elisa Valentina,VESTIBULAR
DOCENTE(S): -----------.,VESTIBULAR
Carolina Rafael,VESTIBULAR
Maria Pedro,VESTIBULAR
Pablo Amanda,VESTIBULAR
Joao Miguel,VESTIBULAR
Alana Camila,VESTIBULAR
Paula Felipe,VESTIBULAR
Mauricio Diego,VESTIBULAR
Thales Julia,VESTIBULAR
Camila Ricardo,VESTIBULAR
Leticia Paula,VESTIBULAR
Enzo Vanessa,VESTIBULAR
Nicolas Ricardo,VESTIBULAR
Pablo Melissa,VESTIBULAR
Miguel Wagner,VESTIBULAR
Diego Fernando,VESTIBULAR
Vanessa Leticia,VESTIBULAR
Raul Maria,VESTIBULAR
Bruna Diego,VESTIBULAR
Helena Alice,VESTIBULAR
Amanda Lucas,VESTIBULAR
Melissa Leonardo,VESTIBULAR
Larissa Julia,DIPLOMADO
Mauricio Eduarda,VESTIBULAR
Miguel Eduardo,VESTIBULAR
Eduarda Mauricio,VESTIBULAR
Yuri Sophia,VESTIBULAR
Sophie Daniel,VESTIBULAR
Alice Caio,VESTIBULAR
Yuri Isabela,VESTIBULAR
Carolina Bianca,VESTIBULAR
Valentina Juliana,VESTIBULAR
