nome_aluno,forma_ingresso
DOCENTE(S): -----------.,SISU
Elisa Yuri,VESTIBULAR
Alice Amanda,VESTIBULAR
Leonardo Caroline,VESTIBULAR
Clara Julia,VESTIBULAR
Guilherme Rafael,VESTIBULAR
Carolina Diego,VESTIBULAR
Pedro Luiz,VESTIBULAR
Evelyn Guilherme,VESTIBULAR
Diego Bianca,VESTIBULAR
Mateus Eduarda,VESTIBULAR
Arthur Enzo,VESTIBULAR
Mauricio Maria,VESTIBULAR
Mateus Luan,VESTIBULAR
Matheus Luiz,VESTIBULAR
Eduardo Viviane,VESTIBULAR
Melissa Lorena,VESTIBULAR
Viviane Alice,VESTIBULAR
Guilherme Leticia,VESTIBULAR
Jose Larissa,VESTIBULAR
Julia Caua,VESTIBULAR
Eloah Nathanael,VESTIBULAR
Caroline Eduarda,VESTIBULAR
Elisa Valentina,VESTIBULAR
Enzo Nicolas,VESTIBULAR
Pedro Daniel,VESTIBULAR
Renan Bruno,VESTIBULAR
Isabela Alice,VESTIBULAR
