nome,status
Fernanda Lorena,FORMADO
Thales Renato,FORMADO
Elisa Valentina,DESVINCULADO
Vitor Vitor,DESLIGAMENTO
Vitor Fernanda,FORMADO
Elisa Paula,DESLIGAMENTO
Nicolas Hugo,DESLIGAMENTO
Sophia Viviane,CURSANDO
Diego Valeria,DESVINCULADO
Mariana Diego,DESLIGAMENTO
Laura Bianca,DESVINCULADO
Marcelo Vanessa,DESLIGAMENTO
Eduardo Guilherme,CURSANDO
Sophia Leticia,DESVINCULADO
Roberto Lais,FORMADO
Luan Maria,DESVINCULADO
Eduardo Rafael,DESVINCULADO
Vitor Miguel,DESVINCULADO
Vitor Matheus,DESLIGAMENTO
Luca Juliana,FORMADO
Leticia Matheus,FORMADO
Vitoria Livia,DESLIGAMENTO
Diego Caio,DESVINCULADO
Lucas Pedro,DESVINCULADO
Valeria Elisa,DESVINCULADO
Clara Matheus,DESVINCULADO
Amanda Luana,CURSANDO
