nome,disciplina,nome_Docente,ano,nota,situacao,semestre
Amanda Luana,Branding,Rafaela Gomes,2021,7.0,APROVADO POR MÉDIA,1
Amanda Luana,Computacao Grafica,Marcos Ferreira,2020,9.0,APROVADO POR MÉDIA,1
Amanda Luana,Cultura Visual,Patricia Nunes,2022,8.25,APROVADO POR MÉDIA,2
Amanda Luana,DISCIPLINA,,ANO,NOTA FINAL,SITUAÇÃO CONCEITO,"SE
MES
TRE"
Amanda Luana,Design Cenico,,2023,,CURSANDO,2
Amanda Luana,Design Cibernetico,Joao Silva,2021,8.75,APROVADO POR MÉDIA,2
Amanda Luana,Design Colaborativo,Fernanda Lima,2020,7.57,APROVADO,3
Amanda Luana,Design Computacional,Maria Santos,2022,3.25,REPROVADO,1
Amanda Luana,Design Computacional,Maria Santos,2023,3.35,REPROVADO,1
Amanda Luana,Design Computacional,,2023,,CURSANDO,2
Amanda Luana,Design Experimental,Rafaela Gomes,2022,2.5,REPROVADO,1
Amanda Luana,Design Experimental,Rafaela Gomes,2023,8.0,APROVADO POR MÉDIA,1
Amanda Luana,Design Parametrico,Juliana Rodrigues,2022,,REPROVADO POR FALTA,1
Amanda Luana,Design Parametrico,Juliana Rodrigues,2023,8.24,APROVADO POR MÉDIA,1
Amanda Luana,Design Sonoro,,2023,,CURSANDO,2
Amanda Luana,Design Thinking,Joao Silva,2020,7.0,APROVADO POR MÉDIA,2
Amanda Luana,Design Thinking,Joao Silva,2020,,REPROVADO POR FALTA,1
Amanda Luana,Design de Aprendizado,Ana Costa,2020,4.1,REPROVADO,2
Amanda Luana,Design de Aprendizado,Ana Costa,2021,,REPROVADO POR FALTA,2
Amanda Luana,Design de Aprendizado,Ana Costa,2022,7.0,APROVADO POR MÉDIA,2
Amanda Luana,Design de Espacos Virtuais,Pedro Oliveira,2022,7.0,APROVADO POR MÉDIA,1
Amanda Luana,Design de Experiencia em Museus,Pedro Oliveira,2020,7.0,APROVADO POR MÉDIA,2
Amanda Luana,Design de Interacao Corporal,Fernanda Lima,2022,7.0,APROVADO POR MÉDIA,1
Amanda Luana,Design de Interacao Cultural,Gustavo Martins,2021,9.0,APROVADO POR MÉDIA,2
Amanda Luana,Design de Interacao Tangivel,,2023,,CURSANDO,2
Amanda Luana,Design de Interacao em Tempo Real,Pedro Oliveira,2021,9.0,APROVADO POR MÉDIA,2
Amanda Luana,Design de Interfaces Neuromorficas,Marcos Ferreira,2020,7.0,APROVADO POR MÉDIA,2
Amanda Luana,Design de Joias,Gustavo Martins,2021,7.45,APROVADO POR MÉDIA,1
Amanda Luana,Design de Mobiliario,Fernanda Lima,2020,8.6,APROVADO POR MÉDIA,1
Amanda Luana,Design de Moda,Fernanda Lima,2022,9.5,APROVADO POR MÉDIA,2
Amanda Luana,Design de Narrativa Espacial,,2022,9.5,APROVADO POR MÉDIA,1
Amanda Luana,Design de Produto,Carla Souza,2021,4.63,REPROVADO,2
Amanda Luana,Design de Produto,,2022,5.5,APROVADO,2
Amanda Luana,Design de Realidade Aumentada (AR) e Virtual (VR),Juliana Rodrigues,2021,8.0,APROVADO POR MÉDIA,2
Amanda Luana,Design de Realidade Hibrida,,2023,,CURSANDO,2
Amanda Luana,Design de Realidade Simulada,Larissa Vieira,2022,10.0,APROVADO POR MÉDIA,2
Amanda Luana,Design de Tecnologia Vestivel (Wearable),Andre Almeida,2020,8.0,APROVADO POR MÉDIA,2
Amanda Luana,Design de Veiculos,Juliana Rodrigues,2023,,REPROVADO POR FALTA,1
Amanda Luana,Design de Visualizacao de Informacoes,Andre Almeida,2020,7.0,APROVADO POR MÉDIA,1
Amanda Luana,Design para Longevidade,Marcos Ferreira,2020,9.66,APROVADO POR MÉDIA,1
Amanda Luana,Ecodesign,Diego Cardoso,2021,9.0,APROVADO POR MÉDIA,2
Amanda Luana,Ergonomia,Pedro Oliveira,2020,8.4,APROVADO POR MÉDIA,2
Amanda Luana,Etica em Design,,2023,,CURSANDO,2
Amanda Luana,Gamificacao,Luiz Pereira,2021,8.5,APROVADO POR MÉDIA,1
Amanda Luana,Gestao de Marcas,Maria Santos,2022,6.45,APROVADO,2
Amanda Luana,Identidade Visual,Joao Silva,2020,8.0,APROVADO POR MÉDIA,3
Amanda Luana,Impressao 3D,Marcos Ferreira,2021,5.0,APROVADO,1
Amanda Luana,Interacao Tangivel,Gustavo Martins,2022,8.0,APROVADO POR MÉDIA,2
Amanda Luana,Manipulacao de Imagem,Diego Cardoso,2021,8.75,APROVADO POR MÉDIA,1
Amanda Luana,Marketing de Produto,Carla Souza,2021,9.75,APROVADO POR MÉDIA,1
Amanda Luana,Modelagem 3D,Andre Almeida,2023,,REPROVADO POR FALTA,1
Amanda Luana,Projeto Integrado,Fernanda Lima,2020,7.0,APROVADO POR MÉDIA,2
Amanda Luana,Prototipagem em Papel,Juliana Rodrigues,2021,9.0,APROVADO POR MÉDIA,2
Amanda Luana,Storytelling Visual,Maria Santos,2020,8.0,APROVADO POR MÉDIA,3
Amanda Luana,Teoria da Cor,Ana Costa,2023,7.1,APROVADO POR MÉDIA,1
Amanda Luana,Teoria do Design,Marcos Ferreira,2023,,REPROVADO POR FALTA,1
