nome,status
Matheus Michele,
Yuri Eduarda,DESLIGAMENTO
Maria Camila,CURSANDO
Beatriz Mariana,CURSANDO
Beatriz Eduarda,DESVINCULADO
Gustavo Raul,DESLIGAMENTO
Caua Evelyn,CURSANDO
Larissa Nathanael,CURSANDO
Leticia Marcelo,CURSANDO
Leticia Livia,CURSANDO
Rafael Camila,DESLIGAMENTO
Paula Carolina,DESVINCULADO
Bianca Eduardo,DESLIGAMENTO
Guilherme Isabela,FORMADO
Melissa Thales,DESVINCULADO
Laura Caua,FORMADO
Eduardo Guilhermina,FORMADO
Juliana Arthur,DESLIGAMENTO
Caio Leticia,FORMADO
Valentina Joao,FORMADO
Mariana Mateus,FORMADO
Caio Thales,DESVINCULADO
Ricardo Rafael,FORMADO
Laura Wagner,DESVINCULADO
Lara Luciana,FORMADO
Raul Isadora,DESVINCULADO
