nome,status
Jose Carolina,
Bruno Diego,CURSANDO
Vinicius Vitoria,FORMADO
Yuri Beatriz,DESVINCULADO
Maria Valentina,CURSANDO
Mateus Helena,CURSANDO
Manuela Thales,DESVINCULADO
Emilly Melissa,DESLIGAMENTO
Valeria Emilly,FORMADO
Cecilia Emilly,DESVINCULADO
Pedro Isadora,DESVINCULADO
Miguel Enzo,DESLIGAMENTO
Nicolas Vinicius,CURSANDO
Leticia Natalia,DESLIGAMENTO
Mauricio Leticia,CURSANDO
Guilherme Ricardo,DESLIGAMENTO
Isadora Arthur,FORMADO
Nicolas Leonardo,FORMADO
Luca Mateus,DESVINCULADO
Livia Diego,DESVINCULADO
Emilly Manuela,FORMADO
Eduardo Fernando,FORMADO
Rafael Yuri,CURSANDO
Juliana Helena,DESLIGAMENTO
Lais Fernando,CURSANDO
Alice Cecilia,CURSANDO
Camila Alice,DESLIGAMENTO
Evelyn Otavio,DESLIGAMENTO
Sofia Emilly,DESVINCULADO
Carolina Matheus,DESVINCULADO
Evelyn Alana,CURSANDO
Leticia Enzo,DESVINCULADO
Diego Lorena,DESVINCULADO
Isabela Viviane,DESVINCULADO
Bruna Isadora,DESVINCULADO
Matheus Viviane,DESVINCULADO
