nome,disciplina,nome_docente,ano,nota,situacao,semestre
Beatriz Raul,Computacao Grafica,,2013,7.25,APROVADO POR MÉDIA,2
Beatriz Raul,DESLIGAMENTO,,2014,,,1
Beatriz Raul,Design Colaborativo,,2013,7.0,APROVADO POR MÉDIA,2
Beatriz Raul,Design de Mobiliario,,2013,,APROVADO POR FREQÜÊNCIA,2
Beatriz Raul,Design de Visualizacao de Informacoes,,2013,1.5,REPROVADO,2
Beatriz Raul,Design para Longevidade,,2013,7.5,APROVADO POR MÉDIA,2
Beatriz Raul,Identidade Visual,,2013,8.25,APROVADO POR MÉDIA,2
Beatriz Raul,Storytelling Visual,,2013,7.5,APROVADO POR MÉDIA,2
Bruna Yuri,Branding,Rafaela Gomes,2020,9.85,APROVADO POR MÉDIA,3
Bruna Yuri,Computacao Grafica,Marcos Ferreira,2019,8.1,APROVADO POR MÉDIA,1
Bruna Yuri,Comunicacao Visual,Luiz Pereira,2022,,REPROVADO POR FALTA,1
Bruna Yuri,Cultura Visual,Patricia Nunes,2021,,REPROVADO POR FALTA,2
Bruna Yuri,Cultura Visual,Patricia Nunes,2022,7.0,APROVADO POR MÉDIA,2
Bruna Yuri,DISCIPLINA,,ANO,NOTA FINAL,SITUAÇÃO CONCEITO,"SE
MES
TRE"
Bruna Yuri,"Design Biomimetico

(DOUTORADO).",Carla Souza,2022,,RENOVAÇÃO DE ESTÁGIO,2
Bruna Yuri,"Design Biomimetico

(DOUTORADO).",Carla Souza,2022,,REPROVADO POR FALTA,1
Bruna Yuri,"Design Biomimetico

(DOUTORADO).",Carla Souza,2023,9.5,APROVADO POR MÉDIA,1
Bruna Yuri,Design Cenico,Ana Costa,2022,7.0,APROVADO POR MÉDIA,2
Bruna Yuri,Design Cibernetico,Joao Silva,2020,7.9,APROVADO POR MÉDIA,2
Bruna Yuri,Design Colaborativo,Fernanda Lima,2019,7.75,APROVADO,1
Bruna Yuri,Design Computacional,Maria Santos,2022,,REPROVADO POR FALTA,1
Bruna Yuri,Design Computacional,Maria Santos,2023,,REPROVADO POR FALTA,1
Bruna Yuri,Design Computacional,,2021,,REPROVADO POR FALTA,1
Bruna Yuri,Design Digital,Patricia Nunes,2021,9.6,APROVADO POR MÉDIA,2
Bruna Yuri,Design Experimental,Rafaela Gomes,2021,,REPROVADO POR FALTA,1
Bruna Yuri,Design Experimental,Rafaela Gomes,2022,,REPROVADO POR FALTA,1
Bruna Yuri,Design Experimental,Rafaela Gomes,2023,,REPROVADO POR FALTA,1
Bruna Yuri,Design Parametrico,Juliana Rodrigues,2021,9.0,APROVADO POR MÉDIA,1
Bruna Yuri,Design Thinking,Joao Silva,2021,,REPROVADO POR FALTA,1
Bruna Yuri,Design Thinking,Joao Silva,2022,,REPROVADO POR FALTA,1
Bruna Yuri,Design Thinking,Joao Silva,2023,,REPROVADO POR FALTA,1
Bruna Yuri,Design de Aprendizado,Ana Costa,2019,,REPROVADO POR FALTA,2
Bruna Yuri,Design de Aprendizado,Ana Costa,2020,,REPROVADO POR FALTA,2
Bruna Yuri,Design de Apresentacoes,Diego Cardoso,2023,,REPROVADO POR FALTA,1
Bruna Yuri,Design de Espacos Virtuais,Pedro Oliveira,2021,9.0,APROVADO POR MÉDIA,1
Bruna Yuri,Design de Experiencia em Museus,Pedro Oliveira,2019,7.0,APROVADO POR MÉDIA,2
Bruna Yuri,Design de Interacao Corporal,Fernanda Lima,2021,5.0,APROVADO,1
Bruna Yuri,Design de Interacao Cultural,Gustavo Martins,2020,,REPROVADO POR FALTA,2
Bruna Yuri,Design de Interacao Social,Ana Costa,2022,,REPROVADO POR FALTA,2
