nome_aluno,forma_ingresso
Beatriz Raul,VESTIBULAR
Carolina Catarina,VESTIBULAR
Yuri Maria,VESTIBULAR
Maria Bianca,VESTIBULAR
Valentina Gabriel,VESTIBULAR
Vitoria Thiago,VESTIBULAR
Sophie Luiz,VESTIBULAR
Juliana Eduarda,VESTIBULAR
Renato Miguel,VESTIBULAR
Pablo Vinicius,VESTIBULAR
Manuela Renato,VESTIBULAR
Elisa Valentina,VESTIBULAR
Vinicius Vitoria,VESTIBULAR
Paula Luciana,VESTIBULAR
Livia Camila,VESTIBULAR
Julia Felipe,VESTIBULAR
Lorena Luiz,VESTIBULAR
Bruna Yuri,VESTIBULAR
Eduarda Melissa,VESTIBULAR
Wagner Raul,VESTIBULAR
Lucas Marcelo,VESTIBULAR
Vinicius Matheus,VESTIBULAR
Ricardo Luana,VESTIBULAR
Jose Sophia,VESTIBULAR
