nome,disciplina,nome_Docente,ano,nota,situacao,semestre
Caio Pedro,Branding,,2013,6.75,APROVADO,2
Caio Pedro,Computacao Grafica,,2012,7.0,APROVADO POR MÉDIA,2
Caio Pedro,Comunicacao Visual,,2017,7.0,APROVADO POR MÉDIA,1
Caio Pedro,Cultura Visual,,2013,7.25,APROVADO POR MÉDIA,2
Caio Pedro,DISCIPLINA,,ANO,NOTA FINAL,SITUAÇÃO CONCEITO,"SE
MES
TRE"
Caio Pedro,Design Biomimetico,,2014,,REPROVADO POR FALTA,2
Caio Pedro,Design Biomimetico,,2015,9.0,APROVADO POR MÉDIA,1
Caio Pedro,Design Cenico,,2015,9.25,APROVADO POR MÉDIA,1
Caio Pedro,Design Cibernetico,,2014,7.3,APROVADO POR MÉDIA,1
Caio Pedro,Design Colaborativo,,2012,5.0,APROVADO,2
Caio Pedro,Design Computacional,,2014,7.45,APROVADO POR MÉDIA,2
Caio Pedro,Design Digital,,2015,9.25,APROVADO POR MÉDIA,2
Caio Pedro,Design Experimental,,2017,5.0,APROVADO,1
Caio Pedro,Design Parametrico,,2015,5.67,APROVADO,1
Caio Pedro,Design Sonoro,,2016,7.75,APROVADO POR MÉDIA,1
Caio Pedro,Design Thinking,,2013,7.5,APROVADO POR MÉDIA,1
Caio Pedro,Design de Aprendizado,,2013,4.53,REPROVADO,1
Caio Pedro,Design de Aprendizado,,2013,7.0,APROVADO,2
Caio Pedro,Design de Apresentacoes,,2013,8.0,APROVADO POR MÉDIA,2
Caio Pedro,Design de Espacos Virtuais,,2014,7.6,APROVADO POR MÉDIA,2
Caio Pedro,Design de Experiencia em Museus,,2013,9.0,APROVADO POR MÉDIA,1
Caio Pedro,Design de Impacto Social,,2016,9.25,APROVADO POR MÉDIA,1
Caio Pedro,Design de Impressao e Publicacao,,2017,7.0,APROVADO POR MÉDIA,1
Caio Pedro,Design de Interacao Corporal,,2014,,REPROVADO POR FALTA,2
Caio Pedro,Design de Interacao Corporal,,2015,7.5,APROVADO POR MÉDIA,1
Caio Pedro,Design de Interacao Cultural,,2014,8.25,APROVADO POR MÉDIA,1
Caio Pedro,Design de Interacao Tangivel,,2015,5.75,APROVADO,2
Caio Pedro,Design de Interacao em Tempo Real,,2014,7.0,APROVADO POR MÉDIA,1
Caio Pedro,Design de Interfaces Neuromorficas,,2013,9.75,APROVADO POR MÉDIA,1
Caio Pedro,Design de Joias,,2013,7.2,APROVADO POR MÉDIA,2
Caio Pedro,Design de Mobiliario,,2012,,APROVADO POR FREQÜÊNCIA,2
Caio Pedro,Design de Moda,,2016,9.0,APROVADO POR MÉDIA,2
Caio Pedro,Design de Narrativa Espacial,,2014,8.5,APROVADO POR MÉDIA,2
Caio Pedro,Design de Produto,,2014,8.18,APROVADO POR MÉDIA,1
Caio Pedro,Design de Realidade Aumentada (AR) e Virtual (VR),,2014,8.75,APROVADO POR MÉDIA,1
Caio Pedro,Design de Redes Sociais,,2017,7.65,APROVADO POR MÉDIA,1
Caio Pedro,Design de Tecnologia Vestivel (Wearable),,2013,9.0,APROVADO POR MÉDIA,1
Caio Pedro,Design de Visualizacao de Informacoes,,2012,6.28,APROVADO,2
Caio Pedro,Design para Longevidade,,2012,7.0,APROVADO POR MÉDIA,2
Caio Pedro,Ecodesign,,2014,5.9,APROVADO,1
Caio Pedro,Ergonomia,,2013,9.0,APROVADO POR MÉDIA,1
Caio Pedro,Etica em Design,,2015,7.5,APROVADO POR MÉDIA,1
Caio Pedro,FORMADO,,2017,,,2
Caio Pedro,Gamificacao,,2013,7.0,APROVADO POR MÉDIA,2
Caio Pedro,Gestao de Marcas,,2016,5.63,APROVADO,2
Caio Pedro,INTEGRALIZADO,,2017,,,1
Caio Pedro,Identidade Visual,,2012,8.0,APROVADO POR MÉDIA,2
Caio Pedro,Impressao 3D,,2013,7.25,APROVADO POR MÉDIA,2
Caio Pedro,Interacao Tangivel,,2014,8.0,APROVADO POR MÉDIA,2
Caio Pedro,Manipulacao de Imagem,,2013,5.0,APROVADO,2
Caio Pedro,Marketing de Produto,,2016,7.44,APROVADO,1
Caio Pedro,Projeto Integrado,,2013,3.63,REPROVADO,1
Caio Pedro,Projeto Integrado,,2013,4.07,REPROVADO,2
Caio Pedro,Projeto Integrado,,2014,3.7,REPROVADO,2
Caio Pedro,Projeto Integrado,,2015,5.0,APROVADO,2
Caio Pedro,Prototipagem em Papel,,2014,5.38,APROVADO,1
Caio Pedro,SemiÃ³tica,,2016,7.0,APROVADO POR MÉDIA,1
Caio Pedro,Storytelling Visual,,2012,5.88,APROVADO,2
Caio Pedro,Tecnicas de Iluminacao,,2017,9.5,APROVADO POR MÉDIA,1
Caio Pedro,Teoria da Cor,,2016,7.0,APROVADO POR MÉDIA,1
Caio Pedro,Teoria do Design,,2016,7.75,APROVADO,2
Caio Pedro,Tipografia,,2013,3.14,REPROVADO,2
Caio Pedro,Tipografia,,2014,5.0,APROVADO,1
Eduardo Alice,Computacao Grafica,,2006,,REPROVADO POR FALTA,2
Eduardo Alice,DESVINCULADO,,2007,,,1
Eduardo Alice,Design Colaborativo,,2006,,REPROVADO POR FALTA,2
Eduardo Alice,Design de Mobiliario,,2006,,REPROVADO POR FALTA,2
Eduardo Alice,Design de Visualizacao de Informacoes,,2006,,REPROVADO POR FALTA,2
Eduardo Alice,Design para Longevidade,,2006,,REPROVADO POR FALTA,2
Eduardo Alice,Identidade Visual,,2006,,REPROVADO POR FALTA,2
Eduardo Alice,Storytelling Visual,,2006,,REPROVADO POR FALTA,2
Eduardo Gabriel,Computacao Grafica,,2005,,REPROVADO POR FALTA,1
Eduardo Gabriel,DESVINCULADO,,2005,,,2
Eduardo Gabriel,Design Colaborativo,,2005,,REPROVADO POR FALTA,1
Eduardo Gabriel,Design de Mobiliario,,2005,,REPROVADO POR FALTA,1
Eduardo Gabriel,Design de Visualizacao de Informacoes,,2005,,REPROVADO POR FALTA,1
Eduardo Gabriel,Design para Longevidade,,2005,,REPROVADO POR FALTA,1
Eduardo Gabriel,Identidade Visual,,2005,,REPROVADO POR FALTA,1
Eduardo Gabriel,Storytelling Visual,,2005,,REPROVADO POR FALTA,1
Eduardo Vitoria,Branding,,2007,,REPROVADO POR FALTA,2
Eduardo Vitoria,Computacao Grafica,,2007,7.5,APROVADO POR MÉDIA,1
Eduardo Vitoria,Cultura Visual,,2007,,REPROVADO POR FALTA,2
Eduardo Vitoria,DESVINCULADO,,2008,,,2
Eduardo Vitoria,Design Colaborativo,,2007,,REPROVADO POR FALTA,1
Eduardo Vitoria,Design Colaborativo,,2007,,REPROVADO POR FALTA,2
Eduardo Vitoria,Design de Mobiliario,,2007,8.25,APROVADO POR MÉDIA,1
Eduardo Vitoria,Design de Visualizacao de Informacoes,,2007,,REPROVADO POR FALTA,1
Eduardo Vitoria,Design de Visualizacao de Informacoes,,2007,,REPROVADO POR FALTA,2
Eduardo Vitoria,Design para Longevidade,,2007,5.5,APROVADO,1
Eduardo Vitoria,Ergonomia,,2007,,REPROVADO POR FALTA,2
Eduardo Vitoria,Identidade Visual,,2007,7.0,APROVADO,1
Eduardo Vitoria,Storytelling Visual,,2007,5.0,APROVADO,1
Eduardo Vitoria,TRANCAMENTO,,2008,,,1
Emilly Joao,Branding,,2007,8.5,APROVADO POR MÉDIA,2
Emilly Joao,Computacao Grafica,,2006,10.0,APROVADO POR MÉDIA,2
Emilly Joao,Comunicacao Visual,,2010,,REPROVADO POR FALTA,2
Emilly Joao,Comunicacao Visual,,2012,,REPROVADO POR FALTA,2
Emilly Joao,Cultura Visual,,2009,7.0,APROVADO POR MÉDIA,2
Emilly Joao,Cultura Visual,,2009,,REPROVADO POR FALTA,1
Emilly Joao,DESVINCULADO,,2013,,,1
Emilly Joao,DISCIPLINA,,ANO,NOTA FINAL,SITUAÇÃO CONCEITO,"SE
MES
TRE"
Emilly Joao,Design Biomimetico,,2010,,REPROVADO POR FALTA,2
Emilly Joao,Design Biomimetico,,2011,,REPROVADO POR FALTA,1
Emilly Joao,Design Cenico,,2010,,REPROVADO POR FALTA,1
Emilly Joao,Design Cenico,,2010,,REPROVADO POR FALTA,2
Emilly Joao,Design Cibernetico,,2008,7.15,APROVADO,1
Emilly Joao,Design Colaborativo,,2006,4.25,REPROVADO,2
Emilly Joao,Design Colaborativo,,2007,7.75,APROVADO POR MÉDIA,2
Emilly Joao,Design Colaborativo,,2007,,REPROVADO POR FALTA,1
Emilly Joao,Design Computacional,,2008,,REPROVADO POR FALTA,2
Emilly Joao,Design Computacional,,2009,,REPROVADO POR FALTA,1
Emilly Joao,Design Computacional,,2010,8.56,APROVADO POR MÉDIA,1
Emilly Joao,Design Digital,,2010,,REPROVADO POR FALTA,2
Emilly Joao,Design Experimental,,2010,,REPROVADO POR FALTA,1
