nome,status
Gabriel Enzo,FORMADO
Juliana Luca,DESVINCULADO
Lara Joao,FORMADO
Luciana Luca,DESVINCULADO
Melissa Gustavo,DESVINCULADO
Diego Vitoria,DESVINCULADO
Mauricio Paula,DESVINCULADO
Fernando Eduarda,DESLIGAMENTO
Thiago Eduardo,FORMADO
DOCENTE(S): -----------.,DESVINCULADO
Vitoria Isadora,DESLIGAMENTO
Lais Raul,DESVINCULADO
Amanda Emilly,DESVINCULADO
Sophie Vinicius,FORMADO
Mauricio Helena,FORMADO
Natalia Caroline,FORMADO
Catarina Nicolas,DESVINCULADO
Alice Eloah,DESVINCULADO
Daniel Nathanael,DESLIGAMENTO
Lorena Eloah,DESLIGAMENTO
Maria Raul,FORMADO
Vitor Rafael,CURSANDO
Guilhermina Alice,DESVINCULADO
Fernanda Felipe,DESVINCULADO
Renato Carolina,DESVINCULADO
Fernando Evelyn,DESVINCULADO
Elisa Valentina,FORMADO
Renato Rafael,FORMADO
Renato Luciana,FORMADO
Evelyn Vinicius,DESLIGAMENTO
