ano,nome,codigo,disciplina,nota,situacao
2005,Cecilia Nathanael,OCRQ3517,Storytelling Visual,5.32,APROVADO
2005,Cecilia Nathanael,RJGL2456,Design Colaborativo,6.8,APROVADO
2005,Cecilia Nathanael,QBWW6998,Computacao Grafica,8.0,APROVADO POR MÉDIA
2005,Cecilia Nathanael,UFMQ0127,Design para Longevidade,2.63,REPROVADO
2005,Cecilia Nathanael,MKUB0718,Design de Mobiliario,,APROVADO POR FREQÜÊNCIA
2005,Cecilia Nathanael,BKII1063,Design de Visualizacao de Informacoes,5.9,APROVADO
2005,Cecilia Nathanael,RJYZ5864,Identidade Visual,3.25,REPROVADO
2006,Cecilia Nathanael,DOMK5241,Design de Aprendizado,5.0,APROVADO
2006,Cecilia Nathanael,ZULH9584,Projeto Integrado,2.08,REPROVADO
2006,Cecilia Nathanael,WPUV3332,Design de Tecnologia Vestivel (Wearable),7.5,APROVADO POR MÉDIA
2006,Cecilia Nathanael,NRYN3294,Design de Interfaces Neuromorficas,2.0,REPROVADO
2006,Cecilia Nathanael,NRCI1107,Design de Experiencia em Museus,4.0,REPROVADO
2006,Cecilia Nathanael,AAZN5771,Ergonomia,5.75,APROVADO
2006,Cecilia Nathanael,ZULH9584,Projeto Integrado,5.27,APROVADO
2006,Cecilia Nathanael,UFMQ0127,Design para Longevidade,4.5,REPROVADO
2006,Cecilia Nathanael,JGDZ1333,Gamificacao,8.0,APROVADO POR MÉDIA
2006,Cecilia Nathanael,NRYN3294,Design de Interfaces Neuromorficas,7.1,APROVADO
2006,Cecilia Nathanael,NRCI1107,Design de Experiencia em Museus,3.0,REPROVADO
2006,Cecilia Nathanael,BLDG0260,Design de Joias,4.6,REPROVADO
2006,Cecilia Nathanael,RJYZ5864,Identidade Visual,8.0,APROVADO POR MÉDIA
2007,Cecilia Nathanael,UFMQ0127,Design para Longevidade,,REPROVADO POR FALTA
2007,Cecilia Nathanael,TSYB3211,Impressao 3D,2.5,REPROVADO
2007,Cecilia Nathanael,NRCI1107,Design de Experiencia em Museus,7.0,APROVADO POR MÉDIA
2007,Cecilia Nathanael,BLDG0260,Design de Joias,8.05,APROVADO POR MÉDIA
2007,Cecilia Nathanael,FZLO1427,Marketing de Produto,3.25,REPROVADO
2007,Cecilia Nathanael,NGVU3526,Ecodesign,5.05,APROVADO
2007,Cecilia Nathanael,JJNT2088,Manipulacao de Imagem,3.63,REPROVADO
2007,Cecilia Nathanael,TPYC6338,Design Thinking,7.25,APROVADO POR MÉDIA
2007,Cecilia Nathanael,TSYB3211,Impressao 3D,6.25,APROVADO
2007,Cecilia Nathanael,VOQA5582,Tipografia,7.0,APROVADO POR MÉDIA
2007,Cecilia Nathanael,FZLO1427,Marketing de Produto,8.13,APROVADO POR MÉDIA
2007,Cecilia Nathanael,KAWV5083,Branding,7.0,APROVADO POR MÉDIA
2008,Cecilia Nathanael,COOQ5695,Design de Interacao em Tempo Real,2.05,REPROVADO
2008,Cecilia Nathanael,VFBH8799,Design Cibernetico,5.3,APROVADO
2008,Cecilia Nathanael,JVFQ7338,Design de Interacao Cultural,5.13,APROVADO
2008,Cecilia Nathanael,IENT5068,Design Experimental,5.0,APROVADO
2008,Cecilia Nathanael,QVGO0107,Prototipagem em Papel,,REPROVADO POR FALTA
2008,Cecilia Nathanael,UXMU2899,Interacao Tangivel,,APROVADO POR FREQÜÊNCIA
2008,Cecilia Nathanael,LERH6635,Design de Produto,,REPROVADO POR FALTA
2008,Cecilia Nathanael,RRME1020,Design Parametrico,2.85,REPROVADO
2008,Cecilia Nathanael,COOQ5695,Design de Interacao em Tempo Real,4.07,REPROVADO
2008,Cecilia Nathanael,MAEY1044,Design Computacional,4.55,REPROVADO
2008,Cecilia Nathanael,BMDH7993,Design de Apresentacoes,7.0,APROVADO POR MÉDIA
2008,Cecilia Nathanael,UFMQ0127,Design para Longevidade,5.0,APROVADO
2008,Cecilia Nathanael,MXMO8868,Cultura Visual,8.25,APROVADO POR MÉDIA
2008,Cecilia Nathanael,QVGO0107,Prototipagem em Papel,2.75,REPROVADO
ANO,Cecilia Nathanael,CÓDIGO,DISCIPLINA,NOTA FINAL,SITUAÇÃO CONCEITO
2008,Cecilia Nathanael,LERH6635,Design de Produto,8.0,APROVADO POR MÉDIA
2009,Cecilia Nathanael,COOQ5695,Design de Interacao em Tempo Real,3.4,REPROVADO
2009,Cecilia Nathanael,MAEY1044,Design Computacional,,REPROVADO POR FALTA
2009,Cecilia Nathanael,UCTK5222,Design de Realidade Aumentada (AR) e Virtual (VR),,REPROVADO POR FALTA
2009,Cecilia Nathanael,DZNQ4989,Design Cenico,6.72,APROVADO
2009,Cecilia Nathanael,XERB6119,Gestao de Marcas,8.25,APROVADO POR MÉDIA
2009,Cecilia Nathanael,AOXV5438,Design de Espacos Virtuais,7.2,APROVADO POR MÉDIA
2009,Cecilia Nathanael,RRME1020,Design Parametrico,,REPROVADO POR FALTA
2009,Cecilia Nathanael,TRQX5862,Etica em Design,5.88,APROVADO
2009,Cecilia Nathanael,COOQ5695,Design de Interacao em Tempo Real,7.25,APROVADO POR MÉDIA
