nome,disciplina,nome_Docente,ano,nota,situacao,semestre
Alice Amanda,Branding,,2009,,REPROVADO POR FALTA,2
Alice Amanda,Branding,,2010,7.8,APROVADO POR MÉDIA,2
Alice Amanda,Computacao Grafica,,2009,5.13,APROVADO,1
Alice Amanda,Comunicacao Visual,,2013,,REPROVADO POR FALTA,1
Alice Amanda,Comunicacao Visual,,2013,,REPROVADO POR FALTA,2
Alice Amanda,Comunicacao Visual,,2014,7.75,APROVADO POR MÉDIA,1
Alice Amanda,Cultura Visual,,2009,7.5,APROVADO POR MÉDIA,2
Alice Amanda,DISCIPLINA,,ANO,NOTA FINAL,SITUAÇÃO CONCEITO,"SE
MES
TRE"
Alice Amanda,DISCIPLINA,,ANO,NOTA FINAL,SITUAÇÃO CONCEITO,"SE
MES
TRE"
Alice Amanda,Design Biomimetico,,2012,,REPROVADO POR FALTA,2
Alice Amanda,Design Biomimetico,,2013,,REPROVADO POR FALTA,1
Alice Amanda,Design Biomimetico,,2013,,REPROVADO POR FALTA,2
Alice Amanda,Design Biomimetico,,2014,10.0,APROVADO POR MÉDIA,2
Alice Amanda,Design Biomimetico,,2014,,REPROVADO POR FALTA,1
Alice Amanda,Design Cenico,,2014,9.25,APROVADO POR MÉDIA,2
Alice Amanda,Design Cibernetico,,2011,6.53,APROVADO,2
Alice Amanda,Design Colaborativo,,2009,2.75,REPROVADO,1
Alice Amanda,Design Colaborativo,,2009,7.0,APROVADO POR MÉDIA,2
Alice Amanda,Design Computacional,,2012,,REPROVADO POR FALTA,2
Alice Amanda,Design Computacional,,2013,9.15,APROVADO POR MÉDIA,1
Alice Amanda,Design Digital,,2014,9.25,APROVADO POR MÉDIA,2
Alice Amanda,Design Experimental,,2011,8.5,APROVADO POR MÉDIA,1
Alice Amanda,Design Parametrico,,2011,7.8,APROVADO POR MÉDIA,1
Alice Amanda,Design Sonoro,,2012,,CANCELADO COM ONUS,1
Alice Amanda,Design Sonoro,,2015,7.0,APROVADO POR MÉDIA,1
Alice Amanda,Design Thinking,,2011,7.0,APROVADO POR MÉDIA,2
Alice Amanda,Design de Aprendizado,,2010,5.5,APROVADO,1
Alice Amanda,Design de Apresentacoes,,2011,8.0,APROVADO POR MÉDIA,1
Alice Amanda,Design de Espacos Virtuais,,2011,6.0,APROVADO,1
Alice Amanda,Design de Experiencia em Museus,,2010,8.0,APROVADO POR MÉDIA,1
Alice Amanda,Design de Impacto Social,,2015,9.75,APROVADO POR MÉDIA,1
Alice Amanda,Design de Impressao e Publicacao,,2015,,REPROVADO POR FALTA,2
Alice Amanda,Design de Interacao Corporal,,2012,,REPROVADO POR FALTA,2
Alice Amanda,Design de Interacao Corporal,,2013,,REPROVADO POR FALTA,1
Alice Amanda,Design de Interacao Corporal,,2013,,REPROVADO POR FALTA,2
Alice Amanda,Design de Interacao Corporal,,2014,10.0,APROVADO POR MÉDIA,1
Alice Amanda,Design de Interacao Cultural,,2011,5.5,APROVADO,2
Alice Amanda,Design de Interacao Tangivel,,2015,6.75,APROVADO,1
Alice Amanda,Design de Interacao em Tempo Real,,2011,7.1,APROVADO POR MÉDIA,1
Alice Amanda,Design de Interfaces Neuromorficas,,2010,7.0,APROVADO POR MÉDIA,1
Alice Amanda,Design de Joias,,2010,7.9,APROVADO POR MÉDIA,2
Alice Amanda,Design de Mobiliario,,2009,,APROVADO POR FREQÜÊNCIA,1
Alice Amanda,Design de Moda,,2015,9.0,APROVADO POR MÉDIA,1
Alice Amanda,Design de Narrativa Espacial,,2012,,REPROVADO POR FALTA,2
Alice Amanda,Design de Narrativa Espacial,,2013,,REPROVADO POR FALTA,1
Alice Amanda,Design de Narrativa Espacial,,2013,,REPROVADO POR FALTA,2
Alice Amanda,Design de Narrativa Espacial,,2014,10.0,APROVADO POR MÉDIA,1
Alice Amanda,Design de Produto,,2011,8.0,APROVADO POR MÉDIA,2
Alice Amanda,Design de Realidade Aumentada (AR) e Virtual (VR),,2011,8.25,APROVADO POR MÉDIA,1
Alice Amanda,Design de Redes Sociais,,2014,7.0,APROVADO POR MÉDIA,2
Alice Amanda,Design de Tecnologia Vestivel (Wearable),,2011,5.13,APROVADO,1
Alice Amanda,Design de Visualizacao de Informacoes,,2009,3.88,REPROVADO,1
Alice Amanda,Design de Visualizacao de Informacoes,,2009,8.13,APROVADO POR MÉDIA,2
Alice Amanda,Design para Longevidade,,2009,2.5,REPROVADO,2
Alice Amanda,Design para Longevidade,,2009,4.38,REPROVADO,1
Alice Amanda,Design para Longevidade,,2010,8.0,APROVADO POR MÉDIA,1
Alice Amanda,Ecodesign,,2011,5.1,APROVADO,2
Alice Amanda,Ergonomia,,2009,,REPROVADO POR FALTA,2
Alice Amanda,Ergonomia,,2010,7.0,APROVADO POR MÉDIA,1
Alice Amanda,Etica em Design,,2012,,REPROVADO POR FALTA,1
Alice Amanda,Etica em Design,,2014,8.25,APROVADO POR MÉDIA,2
Alice Amanda,FORMADO,,2017,,,2
Alice Amanda,Gamificacao,,2010,8.75,APROVADO POR MÉDIA,2
Alice Amanda,Gestao de Marcas,,2011,7.25,APROVADO POR MÉDIA,2
Alice Amanda,INTEGRALIZADO,,2017,,,1
Alice Amanda,Identidade Visual,,2009,6.13,APROVADO,1
Alice Amanda,Impressao 3D,,2010,,REPROVADO POR FALTA,2
Alice Amanda,Impressao 3D,,2011,8.75,APROVADO POR MÉDIA,1
Alice Amanda,Interacao Tangivel,,2011,,APROVADO POR FREQÜÊNCIA,1
Alice Amanda,Manipulacao de Imagem,,2010,7.25,APROVADO POR MÉDIA,2
Alice Amanda,Marketing de Produto,,2010,7.0,APROVADO POR MÉDIA,2
Alice Amanda,Materiais e Processos,,2015,9.0,APROVADO POR MÉDIA,2
Alice Amanda,Projeto Integrado,,2010,9.5,APROVADO POR MÉDIA,1
Alice Amanda,Prototipagem em Papel,,2011,9.0,APROVADO POR MÉDIA,2
Alice Amanda,SemiÃ³tica,,2014,6.63,APROVADO,2
Alice Amanda,Storytelling Visual,,2009,,REPROVADO POR FALTA,1
Alice Amanda,Storytelling Visual,,2010,8.0,APROVADO POR MÉDIA,2
Alice Amanda,Tecnicas de Iluminacao,,2015,,REPROVADO POR FALTA,2
Alice Amanda,Tecnicas de Iluminacao,,2016,,REPROVADO POR FALTA,1
Alice Amanda,Tecnicas de Iluminacao,,2016,,REPROVADO POR FALTA,2
Alice Amanda,Tecnicas de Iluminacao,,2017,10.0,APROVADO POR MÉDIA,1
Alice Amanda,Teoria da Cor,,2015,8.0,APROVADO POR MÉDIA,1
Alice Amanda,Teoria do Design,,2011,,REPROVADO POR FALTA,2
Alice Amanda,Teoria do Design,,2013,,REPROVADO POR FALTA,2
Alice Amanda,Teoria do Design,,2015,2.55,REPROVADO,1
Alice Amanda,Teoria do Design,,2015,,REPROVADO POR FALTA,2
Alice Amanda,Teoria do Design,,2016,,REPROVADO POR FALTA,1
Alice Amanda,Teoria do Design,,2016,,REPROVADO POR FALTA,2
Alice Amanda,Teoria do Design,,2017,7.0,APROVADO POR MÉDIA,1
Alice Amanda,Tipografia,,2010,7.5,APROVADO POR MÉDIA,2
Amanda Michele,Computacao Grafica,,2011,7.25,APROVADO POR MÉDIA,1
Amanda Michele,DESLIGAMENTO,,2011,,,2
Amanda Michele,Design Colaborativo,,2011,,DISPENSADO,1
Amanda Michele,Design de Aprendizado,,2011,,DISPENSADO,1
Amanda Michele,Design de Mobiliario,,2011,,APROVADO POR FREQÜÊNCIA,1
Amanda Michele,Design de Visualizacao de Informacoes,,2011,,DISPENSADO,1
Amanda Michele,Design para Longevidade,,2011,,DISPENSADO,1
Amanda Michele,Identidade Visual,,2011,8.25,APROVADO POR MÉDIA,1
Amanda Michele,Projeto Integrado,,2011,,DISPENSADO,1
Amanda Michele,Storytelling Visual,,2011,8.1,APROVADO POR MÉDIA,1
Bianca Matheus,Design Editorial,,2022,,DISPENSADO,2
Bianca Matheus,Design Estrategico,Carla Souza,2022,7.0,APROVADO POR MÉDIA,2
