nome_aluno,forma_ingresso
Diego Vitoria,VESTIBULAR
Vinicius Luca,VESTIBULAR
Amanda Michele,VESTIBULAR
Mariana Julia,VESTIBULAR
Alice Amanda,VESTIBULAR
Bianca Matheus,VESTIBULAR
Otavio Thiago,VESTIBULAR
Elisa Yuri,SISU
Jose Roberto,VESTIBULAR
Roberto Livia,VESTIBULAR
Joao Bruna,VESTIBULAR
Mauricio Fernanda,VESTIBULAR
Lucas Renato,SISU
Mateus Michele,VESTIBULAR
Mauricio Raul,VESTIBULAR
Bruno Arthur,VESTIBULAR
Vinicius Luana,VESTIBULAR
Nicolas Eduardo,VESTIBULAR
Maria Caroline,VESTIBULAR
Mariana Jose,VESTIBULAR
Isadora Thiago,VESTIBULAR
Mateus Renato,VESTIBULAR
Caio Camila,VESTIBULAR
Eloah Emilly,VESTIBULAR
Caua Pablo,VESTIBULAR
Maria Alice,VESTIBULAR
Elisa Valentina,VESTIBULAR
Renan Lara,VESTIBULAR
