nome,status
Leticia Maria,DESVINCULADO
Caua Gabriel,CURSANDO
Michele Diego,CURSANDO
Camila Cecilia,CURSANDO
Yuri Lais,DESVINCULADO
Melissa Felipe,DESVINCULADO
Juliana Luiz,FORMADO
Vitoria Marcos,DESLIGAMENTO
DOCENTE(S): -----------.,DESVINCULADO
Elisa Valentina,DESVINCULADO
Thiago Beatriz,CURSANDO
Leonardo Marcos,DESLIGAMENTO
Eduarda Vinicius,FORMADO
Nathanael Vinicius,FORMADO
Jose Lais,CURSANDO
Felipe Sophia,DESVINCULADO
Arthur Alana,DESVINCULADO
Otavio Guilherme,CURSANDO
Jose Fernando,CURSANDO
Marcos Beatriz,DESVINCULADO
Gabriel Caua,DESVINCULADO
Miguel Felipe,DESVINCULADO
Miguel Elisa,FORMADO
Caroline Caroline,FORMADO
