nome,status
Leticia Marcelo,FORMADO
Eduarda Thales,DESLIGAMENTO
Sophie Leandro,CURSANDO
Amanda Caroline,DESLIGAMENTO
Lais Thales,FORMADO
Carolina Pedro,FORMADO
Isabela Carolina,FORMADO
Leticia Catarina,FORMADO
Fernando Yuri,DESLIGAMENTO
Amanda Marcelo,FORMADO
Valentina Diego,CURSANDO
Camila Beatriz,CURSANDO
Mauricio Alana,FORMADO
Isabela Natalia,FORMADO
Luana Nicolas,DESVINCULADO
Enzo Evelyn,DESLIGAMENTO
Sophie Caio,FORMADO
Diego Amanda,FORMADO
Eduarda Maria,CURSANDO
Nathanael Mauricio,FORMADO
Mariana Beatriz,CURSANDO
Eloah Alice,FORMADO
Thales Isabela,FORMADO
Beatriz Marcelo,DESVINCULADO
Paula Luana,DESLIGAMENTO
Paula Isabela,DESLIGAMENTO
