nome,disciplina,nome_docente,ano,nota,situacao,semestre
Alice Paula,Branding,,2016,8.25,APROVADO POR MÉDIA,1
Alice Paula,Computacao Grafica,,2015,8.5,APROVADO POR MÉDIA,1
Alice Paula,Comunicacao Visual,Luiz Pereira,2018,10.0,APROVADO POR MÉDIA,1
Alice Paula,Cultura Visual,,2017,8.7,APROVADO POR MÉDIA,2
Alice Paula,DESLIGAMENTO,,2013,,,1
Alice Paula,DISCIPLINA,,ANO,NOTA FINAL,SITUAÇÃO CONCEITO,"SE
MES
TRE"
Alice Paula,Design Biomimetico,Carla Souza,2018,10.0,APROVADO POR MÉDIA,2
Alice Paula,Design Biomimetico,Carla Souza,2018,,RENOVAÇÃO DE ESTÁGIO,1
Alice Paula,Design Cenico,,2017,9.7,APROVADO POR MÉDIA,2
Alice Paula,Design Cibernetico,,2016,7.22,APROVADO,2
Alice Paula,Design Colaborativo,,2015,,DISPENSADO,1
Alice Paula,Design Computacional,,2017,8.25,APROVADO POR MÉDIA,1
Alice Paula,Design Digital,,2017,9.75,APROVADO POR MÉDIA,2
Alice Paula,Design Experimental,,2017,10.0,APROVADO POR MÉDIA,1
Alice Paula,Design Parametrico,,2017,8.52,APROVADO POR MÉDIA,1
Alice Paula,Design Thinking,,2015,7.0,APROVADO POR MÉDIA,2
Alice Paula,Design de Aprendizado,,2015,5.8,APROVADO,2
Alice Paula,Design de Apresentacoes,Diego Cardoso,2018,8.75,APROVADO POR MÉDIA,1
Alice Paula,Design de Espacos Virtuais,,2017,8.3,APROVADO POR MÉDIA,1
Alice Paula,Design de Experiencia em Museus,,2015,8.8,APROVADO POR MÉDIA,2
Alice Paula,Design de Impacto Social,Rafaela Gomes,2018,9.0,APROVADO POR MÉDIA,1
Alice Paula,Design de Impressao e Publicacao,Gustavo Martins,2018,7.5,APROVADO POR MÉDIA,1
Alice Paula,Design de Interacao Corporal,,2017,10.0,APROVADO POR MÉDIA,1
Alice Paula,Design de Interacao Cultural,,2016,8.5,APROVADO POR MÉDIA,2
Alice Paula,Design de Interacao Tangivel,,2017,7.75,APROVADO POR MÉDIA,1
Alice Paula,Design de Interacao em Tempo Real,,2016,8.5,APROVADO POR MÉDIA,2
Alice Paula,Design de Interfaces Neuromorficas,,2015,10.0,APROVADO POR MÉDIA,2
Alice Paula,Design de Jogos,Joao Silva,2018,5.0,APROVADO,2
Alice Paula,Design de Joias,,2015,,DISPENSADO,1
Alice Paula,Design de Mobiliario,,2015,,APROVADO POR FREQÜÊNCIA,1
Alice Paula,Design de Moda,,2017,9.5,APROVADO POR MÉDIA,2
Alice Paula,Design de Narrativa Espacial,,2017,9.0,APROVADO POR MÉDIA,1
Alice Paula,Design de Produto,,2016,8.2,APROVADO POR MÉDIA,2
Alice Paula,Design de Realidade Aumentada (AR) e Virtual (VR),,2016,9.5,APROVADO POR MÉDIA,2
Alice Paula,Design de Redes Sociais,Larissa Vieira,2018,9.19,APROVADO POR MÉDIA,1
Alice Paula,Design de Tecnologia Vestivel (Wearable),,2015,8.75,APROVADO POR MÉDIA,2
Alice Paula,Design de Visualizacao de Informacoes,,2015,7.5,APROVADO POR MÉDIA,1
Alice Paula,Design para Longevidade,,2015,7.15,APROVADO POR MÉDIA,1
Alice Paula,Ecodesign,,2016,7.0,APROVADO POR MÉDIA,2
Alice Paula,Ergonomia,,2015,8.0,APROVADO POR MÉDIA,2
Alice Paula,Etica em Design,,2017,8.5,APROVADO POR MÉDIA,2
Alice Paula,FORMADO,,2019,,,2
Alice Paula,Gamificacao,,2016,8.75,APROVADO POR MÉDIA,1
Alice Paula,Gestao de Marcas,,2017,9.0,APROVADO POR MÉDIA,2
Alice Paula,INTEGRALIZADO,,2019,,,1
Alice Paula,Identidade Visual,,2015,8.75,APROVADO POR MÉDIA,1
Alice Paula,Impressao 3D,,2016,8.0,APROVADO POR MÉDIA,1
Alice Paula,Interacao Tangivel,,2017,7.0,APROVADO POR MÉDIA,2
Alice Paula,Manipulacao de Imagem,,2016,10.0,APROVADO POR MÉDIA,1
Alice Paula,Marketing de Produto,,2016,8.05,APROVADO POR MÉDIA,1
