nome_aluno,forma_ingresso
Miguel Thales,VESTIBULAR
Lorena Yuri,VESTIBULAR
Gabriel Leticia,VESTIBULAR
Vitoria Renan,VESTIBULAR
Nathanael Alana,VESTIBULAR
Leandro Diego,VESTIBULAR
Livia Miguel,VESTIBULAR
Diego Lucas,VESTIBULAR
Michele Thiago,VESTIBULAR
Nicolas Camila,VESTIBULAR
Lorena Pedro,VESTIBULAR
Vinicius Isabela,VESTIBULAR
DOCENTE(S): -----------.,VESTIBULAR
Laura Sofia,VESTIBULAR
Fernanda Laura,VESTIBULAR
Roberto Luiz,VESTIBULAR
Helena Otavio,VESTIBULAR
Juliana Raul,VESTIBULAR
Elisa Caio,VESTIBULAR
Camila Sophie,VESTIBULAR
Leticia Caua,VESTIBULAR
Lais Evelyn,VESTIBULAR
Lara Isabela,VESTIBULAR
Thales Vinicius,VESTIBULAR
Juliana Gabriel,VESTIBULAR
Natalia Emilly,VESTIBULAR
Lara Nathanael,VESTIBULAR
Alice Paula,VESTIBULAR
