nome_aluno,forma_ingresso
Rafael Jose,VESTIBULAR
Manuela Felipe,VESTIBULAR
Leticia Pablo,VESTIBULAR
Melissa Viviane,VESTIBULAR
Valeria Bianca,VESTIBULAR
Luca Eduarda,VESTIBULAR
Leticia Vanessa,VESTIBULAR
Natalia Julia,VESTIBULAR
Emilly Cecilia,VESTIBULAR
Wagner Yuri,VESTIBULAR
Clara Alice,VESTIBULAR
Pedro Juliana,VESTIBULAR
Vanessa Arthur,VESTIBULAR
Natalia Natalia,VESTIBULAR
Enzo Guilhermina,VESTIBULAR
Luca Carolina,VESTIBULAR
Leticia Mariana,VESTIBULAR
Lais Luciana,VESTIBULAR
Pablo Sophia,VESTIBULAR
Larissa Natalia,VESTIBULAR
Mauricio Mariana,VESTIBULAR
Luana Livia,VESTIBULAR
Mariana Daniel,VESTIBULAR
Lara Leticia,VESTIBULAR
Joao Guilhermina,VESTIBULAR
Renan Hugo,VESTIBULAR
Camila Isabela,VESTIBULAR
Melissa Larissa,VESTIBULAR
Melissa Enzo,VESTIBULAR
Bruno Gustavo,VESTIBULAR
Manuela Joao,VESTIBULAR
