nome_aluno,forma_ingresso
Luana Felipe,VESTIBULAR
Caroline Sophia,VESTIBULAR
Catarina Renan,VESTIBULAR
Elisa Valentina,VESTIBULAR
Thiago Otavio,VESTIBULAR
Lais Clara,VESTIBULAR
DOCENTE(S): -----------.,VESTIBULAR
Nicolas Hugo,VESTIBULAR
Sophie Diego,VESTIBULAR
Leticia Amanda,VESTIBULAR
Vinicius Hugo,VESTIBULAR
Pedro Arthur,VESTIBULAR
Bruno Elisa,VESTIBULAR
Cecilia Marcos,VESTIBULAR
Eduardo Nicolas,VESTIBULAR
Rafael Alice,VESTIBULAR
Gabriel Diego,VESTIBULAR
Matheus Larissa,VESTIBULAR
Jose Vitoria,VESTIBULAR
Renato Caio,VESTIBULAR
Felipe Enzo,VESTIBULAR
Ricardo Renan,VESTIBULAR
Jose Wagner,VESTIBULAR
Luana Vinicius,VESTIBULAR
Alice Beatriz,VESTIBULAR
Alice Natalia,VESTIBULAR
Helena Mariana,DIPLOMADO
Caio Vanessa,VESTIBULAR
Juliana Pablo,VESTIBULAR
Luciana Sophie,VESTIBULAR
Gabriel Emilly,VESTIBULAR
