nome_aluno,forma_ingresso
Nathanael Nicolas,VESTIBULAR
Marcos Sofia,VESTIBULAR
Sofia Luca,VESTIBULAR
Lorena Carolina,VESTIBULAR
Fernando Vitoria,VESTIBULAR
Fernanda Pedro,VESTIBULAR
Elisa Valentina,VESTIBULAR
Viviane Viviane,VESTIBULAR
Isabela Bianca,VESTIBULAR
Evelyn Paula,VESTIBULAR
Mauricio Guilhermina,VESTIBULAR
Camila Bruna,VESTIBULAR
Livia Gabriel,VESTIBULAR
Melissa Amanda,VESTIBULAR
Lais Luana,VESTIBULAR
Carolina Lorena,VESTIBULAR
Yuri Leandro,VESTIBULAR
Alice Marcos,VESTIBULAR
Leticia Alana,VESTIBULAR
Eduarda Maria,VESTIBULAR
Enzo Marcelo,VESTIBULAR
Marcelo Luana,VESTIBULAR
Lorena Amanda,VESTIBULAR
Raul Mariana,VESTIBULAR
Elisa Renato,VESTIBULAR
Diego Isabela,VESTIBULAR
Roberto Roberto,VESTIBULAR
Amanda Mauricio,VESTIBULAR
Valentina Pedro,VESTIBULAR
Arthur Alana,VESTIBULAR
Thales Ricardo,VESTIBULAR
Leticia Mateus,VESTIBULAR
Isabela Paula,VESTIBULAR
