nome_aluno,forma_ingresso
Mateus Cecilia,VESTIBULAR
Melissa Michele,VESTIBULAR
Gabriel Juliana,VESTIBULAR
Luana Bruna,VESTIBULAR
Fernando Natalia,VESTIBULAR
Cecilia Luciana,VESTIBULAR
Valentina Amanda,VESTIBULAR
Michele Thiago,VESTIBULAR
Leandro Alice,VESTIBULAR
Elisa Laura,VESTIBULAR
Luiz Jose,VESTIBULAR
Thiago Maria,VESTIBULAR
Marcelo Vitoria,VESTIBULAR
Valeria Thiago,VESTIBULAR
Fernando Emilly,VESTIBULAR
Vitor Pablo,VESTIBULAR
Nicolas Luana,VESTIBULAR
Elisa Valentina,VESTIBULAR
Vitor Valentina,VESTIBULAR
Bianca Yuri,VESTIBULAR
Nathanael Marcelo,VESTIBULAR
DOCENTE(S): -----------.,VESTIBULAR
Vanessa Roberto,VESTIBULAR
Helena Fernanda,VESTIBULAR
Mateus Eloah,VESTIBULAR
Vitor Isadora,VESTIBULAR
Thiago Gustavo,VESTIBULAR
Diego Leandro,VESTIBULAR
Lais Mateus,VESTIBULAR
Vinicius Laura,VESTIBULAR
Vinicius Gabriel,VESTIBULAR
Alice Luiz,VESTIBULAR
