nome,status
Mateus Cecilia,DESLIGAMENTO
Melissa Michele,DESVINCULADO
Gabriel Juliana,DESVINCULADO
Luana Bruna,DESVINCULADO
Fernando Natalia,DESVINCULADO
Cecilia Luciana,DESVINCULADO
Valentina Amanda,DESVINCULADO
Michele Thiago,DESLIGAMENTO
Leandro Alice,DESVINCULADO
Elisa Laura,CURSANDO
Luiz Jose,FORMADO
Thiago Maria,DESLIGAMENTO
Marcelo Vitoria,FORMADO
Valeria Thiago,CURSANDO
Fernando Emilly,DESVINCULADO
Vitor Pablo,DESLIGAMENTO
Nicolas Luana,CURSANDO
Elisa Valentina,FORMADO
Vitor Valentina,FORMADO
Bianca Yuri,DESVINCULADO
Nathanael Marcelo,CURSANDO
DOCENTE(S): -----------.,FORMADO
Vanessa Roberto,DESVINCULADO
Helena Fernanda,DESLIGAMENTO
Mateus Eloah,DESVINCULADO
Vitor Isadora,DESVINCULADO
Thiago Gustavo,FORMADO
Diego Leandro,DESVINCULADO
Lais Mateus,FORMADO
Vinicius Laura,DESLIGAMENTO
Vinicius Gabriel,FORMADO
Alice Luiz,DESLIGAMENTO
