nome_aluno,forma_ingresso
Leticia Maria,VESTIBULAR
Caua Gabriel,VESTIBULAR
Michele Diego,VESTIBULAR
Camila Cecilia,VESTIBULAR
Yuri Lais,VESTIBULAR
Melissa Felipe,VESTIBULAR
Juliana Luiz,VESTIBULAR
Vitoria Marcos,VESTIBULAR
DOCENTE(S): -----------.,VESTIBULAR
Elisa Valentina,VESTIBULAR
Thiago Beatriz,VESTIBULAR
Leonardo Marcos,VESTIBULAR
Eduarda Vinicius,VESTIBULAR
Nathanael Vinicius,VESTIBULAR
Jose Lais,VESTIBULAR
Felipe Sophia,VESTIBULAR
Arthur Alana,VESTIBULAR
Otavio Guilherme,VESTIBULAR
Jose Fernando,VESTIBULAR
Marcos Beatriz,VESTIBULAR
Gabriel Caua,VESTIBULAR
Miguel Felipe,VESTIBULAR
Miguel Elisa,VESTIBULAR
Caroline Caroline,VESTIBULAR
