nome,status
Isadora Isabela,FORMADO
Michele Otavio,CURSANDO
Valeria Camila,CURSANDO
Fernando Vanessa,CURSANDO
Isadora Daniel,CURSANDO
Eduardo Marcos,FORMADO
Diego Sophie,CURSANDO
Joao Gustavo,CURSANDO
Alice Ricardo,FORMADO
Elisa Valentina,CURSANDO
Joao Maria,CURSANDO
Enzo Isadora,FORMADO
Guilherme Juliana,CURSANDO
Caua Guilherme,FORMADO
Julia Raul,FORMADO
Vinicius Roberto,CURSANDO
Pablo Michele,CURSANDO
Pablo Eduardo,FORMADO
Bruno Miguel,CURSANDO
Melissa Alice,CURSANDO
Lorena Luiz,CURSANDO
Nicolas Jose,FORMADO
Leticia Larissa,CURSANDO
Julia Diego,CURSANDO
Manuela Gustavo,CURSANDO
Gabriel Isabela,CURSANDO
Luciana Rafael,CURSANDO
Maria Livia,CURSANDO
Hugo Fernando,CURSANDO
Jose Sophie,FORMADO
Livia Otavio,FORMADO
Leonardo Lorena,CURSANDO
Renan Laura,CURSANDO
Alana Nathanael,CURSANDO
Leandro Julia,CURSANDO
Catarina Viviane,FORMADO
Felipe Leandro,FORMADO
Bruna Juliana,CURSANDO
Arthur Bruna,CURSANDO
Nicolas Lucas,FORMADO
Beatriz Eduarda,FORMADO
Joao Luan,FORMADO
Felipe Eloah,CURSANDO
Caroline Catarina,CURSANDO
Melissa Thales,CURSANDO
Leticia Bianca,CURSANDO
Mateus Vinicius,FORMADO
Mauricio Diego,CURSANDO
Evelyn Hugo,CURSANDO
Clara Nicolas,CURSANDO
Miguel Michele,FORMADO
Cecilia Viviane,CURSANDO
Hugo Pedro,CURSANDO
