nome_aluno,forma_ingresso
Leonardo Natalia,VESTIBULAR
Juliana Guilherme,VESTIBULAR
Mariana Bruna,VESTIBULAR
Felipe Leonardo,VESTIBULAR
Gabriel Luciana,VESTIBULAR
Maria Isabela,VESTIBULAR
Bruna Isabela,VESTIBULAR
Vinicius Leticia,VESTIBULAR
Bruna Sophie,VESTIBULAR
Rafael Luciana,VESTIBULAR
Elisa Rodrigo,VESTIBULAR
Evelyn Daniel,VESTIBULAR
Vinicius Sophie,VESTIBULAR
Marcelo Alana,VESTIBULAR
Vinicius Maria,VESTIBULAR
Vinicius Sofia,VESTIBULAR
Cecilia Wagner,VESTIBULAR
Viviane Fernanda,VESTIBULAR
Melissa Elisa,VESTIBULAR
Arthur Vitoria,VESTIBULAR
Raul Eduardo,VESTIBULAR
Lorena Natalia,VESTIBULAR
Arthur Jose,VESTIBULAR
Catarina Enzo,VESTIBULAR
Elisa Valentina,VESTIBULAR
Julia Evelyn,VESTIBULAR
Paula Vitor,VESTIBULAR
Vitoria Evelyn,VESTIBULAR
Valentina Natalia,VESTIBULAR
Renan Sophia,VESTIBULAR
Catarina Thales,VESTIBULAR
Jose Daniel,VESTIBULAR
Renato Matheus,VESTIBULAR
