nome,status
Leonardo Natalia,DESLIGAMENTO
Juliana Guilherme,DESLIGAMENTO
Mariana Bruna,DESVINCULADO
Felipe Leonardo,FORMADO
Gabriel Luciana,CURSANDO
Maria Isabela,DESVINCULADO
Bruna Isabela,DESVINCULADO
Vinicius Leticia,FORMADO
Bruna Sophie,CURSANDO
Rafael Luciana,CURSANDO
Elisa Rodrigo,CURSANDO
Evelyn Daniel,DESLIGAMENTO
Vinicius Sophie,CURSANDO
Marcelo Alana,DESLIGAMENTO
Vinicius Maria,DESLIGAMENTO
Vinicius Sofia,DESVINCULADO
Cecilia Wagner,CURSANDO
Viviane Fernanda,CURSANDO
Melissa Elisa,DESVINCULADO
Arthur Vitoria,DESLIGAMENTO
Raul Eduardo,DESVINCULADO
Lorena Natalia,CURSANDO
Arthur Jose,FORMADO
Catarina Enzo,DESVINCULADO
Elisa Valentina,FORMADO
Julia Evelyn,FORMADO
Paula Vitor,FORMADO
Vitoria Evelyn,DESVINCULADO
Valentina Natalia,DESVINCULADO
Renan Sophia,CURSANDO
Catarina Thales,CURSANDO
Jose Daniel,DESVINCULADO
Renato Matheus,FORMADO
