nome_aluno,forma_ingresso
Arthur Jose,VESTIBULAR
Catarina Enzo,VESTIBULAR
Vanessa Wagner,VESTIBULAR
Alice Yuri,VESTIBULAR
Pablo Luan,VESTIBULAR
Luciana Alice,VESTIBULAR
Leticia Leticia,VESTIBULAR
Cecilia Bianca,VESTIBULAR
Gabriel Fernando,VESTIBULAR
Elisa Valentina,VESTIBULAR
Laura Luana,VESTIBULAR
Vitoria Alana,VESTIBULAR
Cecilia Thales,VESTIBULAR
Ricardo Alice,VESTIBULAR
Pedro Evelyn,VESTIBULAR
Paula Caio,VESTIBULAR
Luciana Manuela,VESTIBULAR
Isadora Leticia,VESTIBULAR
Valentina Juliana,VESTIBULAR
Alice Luca,VESTIBULAR
Vitor Helena,VESTIBULAR
Otavio Alana,VESTIBULAR
Manuela Bianca,VESTIBULAR
Lorena Bruno,VESTIBULAR
DOCENTE(S): -----------.,VESTIBULAR
Jose Carolina,VESTIBULAR
Julia Renan,VESTIBULAR
Gabriel Enzo,VESTIBULAR
Alice Julia,VESTIBULAR
Diego Daniel,VESTIBULAR
