nome,status
Arthur Jose,FORMADO
Catarina Enzo,DESVINCULADO
Vanessa Wagner,DESVINCULADO
Alice Yuri,DESVINCULADO
Pablo Luan,FORMADO
Luciana Alice,DESVINCULADO
Leticia Leticia,DESVINCULADO
Cecilia Bianca,FORMADO
Gabriel Fernando,DESVINCULADO
Elisa Valentina,FORMADO
Laura Luana,DESVINCULADO
Vitoria Alana,DESLIGAMENTO
Cecilia Thales,DESLIGAMENTO
Ricardo Alice,FORMADO
Pedro Evelyn,FORMADO
Paula Caio,FORMADO
Luciana Manuela,DESVINCULADO
Isadora Leticia,FORMADO
Valentina Juliana,DESLIGAMENTO
Alice Luca,DESLIGAMENTO
Vitor Helena,DESVINCULADO
Otavio Alana,CURSANDO
Manuela Bianca,DESVINCULADO
Lorena Bruno,DESVINCULADO
DOCENTE(S): -----------.,DESVINCULADO
Jose Carolina,CURSANDO
Julia Renan,DESLIGAMENTO
Gabriel Enzo,FORMADO
Alice Julia,DESLIGAMENTO
Diego Daniel,DESVINCULADO
