nome_aluno,forma_ingresso
Cecilia Nathanael,VESTIBULAR
Natalia Pedro,VESTIBULAR
Melissa Vanessa,VESTIBULAR
Vanessa Nathanael,VESTIBULAR
Caroline Guilherme,VESTIBULAR
Arthur Caua,VESTIBULAR
Caroline Mariana,VESTIBULAR
Hugo Nicolas,TRANSFERENCIA EXTERNA
Elisa Valentina,VESTIBULAR
Alana Daniel,VESTIBULAR
Luciana Felipe,VESTIBULAR
Gabriel Bruno,VESTIBULAR
Sofia Alice,VESTIBULAR
Felipe Eduardo,VESTIBULAR
Laura Emilly,VESTIBULAR
Lorena Rodrigo,VESTIBULAR
Matheus Mauricio,VESTIBULAR
Vitoria Alice,VESTIBULAR
Maria Manuela,VESTIBULAR
Marcelo Laura,VESTIBULAR
Luciana Luca,VESTIBULAR
Luca Lorena,VESTIBULAR
Beatriz Paula,VESTIBULAR
DOCENTE(S): -----------.,VESTIBULAR
Rafael Amanda,VESTIBULAR
Alice Guilherme,VESTIBULAR
Sophie Natalia,VESTIBULAR
Luiz Manuela,VESTIBULAR
Isadora Mariana,VESTIBULAR
Paula Michele,VESTIBULAR
