nome,status
Cecilia Nathanael,DESVINCULADO
Natalia Pedro,REINTEGRAÇÃO
Melissa Vanessa,CURSANDO
Vanessa Nathanael,DESVINCULADO
Caroline Guilherme,FORMADO
Arthur Caua,DESVINCULADO
Caroline Mariana,DESLIGAMENTO
Hugo Nicolas,DESLIGAMENTO
Elisa Valentina,DESLIGAMENTO
Alana Daniel,DESLIGAMENTO
Luciana Felipe,DESVINCULADO
Gabriel Bruno,FORMADO
Sofia Alice,DESLIGAMENTO
Felipe Eduardo,DESVINCULADO
Laura Emilly,FORMADO
Lorena Rodrigo,DESVINCULADO
Matheus Mauricio,FORMADO
Vitoria Alice,CURSANDO
Maria Manuela,CURSANDO
Marcelo Laura,DESVINCULADO
Luciana Luca,DESVINCULADO
Luca Lorena,FORMADO
Beatriz Paula,FORMADO
DOCENTE(S): -----------.,DESLIGAMENTO
Rafael Amanda,DESLIGAMENTO
Alice Guilherme,DESLIGAMENTO
Sophie Natalia,CURSANDO
Luiz Manuela,DESLIGAMENTO
Isadora Mariana,DESVINCULADO
Paula Michele,DESVINCULADO
