nome,status
Emilly Caua,DESVINCULADO
Caio Lorena,FORMADO
Guilherme Alice,DESVINCULADO
Elisa Valentina,FORMADO
Vitor Nathanael,DESVINCULADO
Eduardo Pablo,DESVINCULADO
Daniel Rodrigo,CURSANDO
Diego Otavio,DESVINCULADO
Michele Bianca,CURSANDO
Fernando Paula,FORMADO
Beatriz Juliana,FORMADO
Bianca Isabela,DESLIGAMENTO
Leandro Luana,DESLIGAMENTO
Rafael Viviane,DESLIGAMENTO
Juliana Guilhermina,DESLIGAMENTO
Lais Julia,DESVINCULADO
Vinicius Rafael,DESVINCULADO
Mateus Pedro,FORMADO
Melissa Isadora,DESVINCULADO
Leticia Caroline,FORMADO
Bruna Vinicius,CURSANDO
Sophia Leticia,DESVINCULADO
Julia Maria,DESVINCULADO
Nicolas Bruna,FORMADO
Beatriz Caua,CURSANDO
Guilherme Manuela,FORMADO
Luana Leticia,DESLIGAMENTO
Eduarda Vitoria,FORMADO
Leonardo Luan,CURSANDO
Lucas Fernanda,DESVINCULADO
Paula Alice,DESVINCULADO
Leticia Maria,DESVINCULADO
Maria Julia,DESLIGAMENTO
Miguel Matheus,DESVINCULADO
Luiz Diego,DESVINCULADO
Marcelo Wagner,DESLIGAMENTO
Vinicius Bianca,DESLIGAMENTO
Lara Hugo,FORMADO
Caua Amanda,FORMADO
