nome,disciplina,nome_docente,ano,nota,situacao,semestre
Beatriz Caua,Computacao Grafica,,2006,8.0,APROVADO POR MÉDIA,2
Beatriz Caua,Design Colaborativo,,2006,,REPROVADO POR FALTA,2
Beatriz Caua,Design Colaborativo,,2007,2.03,REPROVADO,1
Beatriz Caua,Design de Mobiliario,,2006,10.0,APROVADO POR MÉDIA,2
Beatriz Caua,Design de Visualizacao de Informacoes,,2006,,REPROVADO POR FALTA,2
Beatriz Caua,Design de Visualizacao de Informacoes,,2007,2.75,REPROVADO,1
Beatriz Caua,Design para Longevidade,,2006,,REPROVADO POR FALTA,2
Beatriz Caua,Design para Longevidade,,2007,6.5,APROVADO,1
Beatriz Caua,Ergonomia,,2007,,CANCELADO COM ONUS,2
Beatriz Caua,Gamificacao,,2007,7.78,APROVADO,1
Beatriz Caua,Identidade Visual,,2006,7.0,APROVADO POR MÉDIA,2
Beatriz Caua,Storytelling Visual,,2006,5.13,APROVADO,2
Beatriz Caua,TRANCAMENTO,,2007,,,2
Beatriz Juliana,Branding,,2009,8.0,APROVADO POR MÉDIA,1
Beatriz Juliana,Computacao Grafica,,2008,7.0,APROVADO POR MÉDIA,1
Beatriz Juliana,Comunicacao Visual,,2011,8.3,APROVADO POR MÉDIA,1
Beatriz Juliana,Cultura Visual,,2009,8.13,APROVADO,1
Beatriz Juliana,DISCIPLINA,,ANO,NOTA FINAL,SITUAÇÃO CONCEITO,"SE
MES
TRE"
Beatriz Juliana,Design Biofilico,,2011,7.68,APROVADO POR MÉDIA,1
Beatriz Juliana,Design Biomimetico,,2011,7.3,APROVADO POR MÉDIA,1
Beatriz Juliana,Design Cenico,,2010,8.5,APROVADO POR MÉDIA,2
Beatriz Juliana,Design Cibernetico,,2010,9.75,APROVADO POR MÉDIA,1
Beatriz Juliana,Design Colaborativo,,2008,5.0,APROVADO,1
Beatriz Juliana,Design Computacional,,2010,9.1,APROVADO POR MÉDIA,2
Beatriz Juliana,Design Digital,,2010,7.5,APROVADO POR MÉDIA,2
Beatriz Juliana,Design Experimental,,2010,9.15,APROVADO POR MÉDIA,1
Beatriz Juliana,Design Parametrico,,2010,8.05,APROVADO POR MÉDIA,1
Beatriz Juliana,Design Thinking,,2008,7.13,APROVADO POR MÉDIA,2
Beatriz Juliana,Design de Aprendizado,,2008,5.63,APROVADO,2
Beatriz Juliana,Design de Apresentacoes,,2010,8.0,APROVADO POR MÉDIA,1
Beatriz Juliana,Design de Espacos Virtuais,,2009,8.7,APROVADO POR MÉDIA,2
Beatriz Juliana,Design de Experiencia em Museus,,2009,6.07,APROVADO,1
Beatriz Juliana,Design de Interacao Corporal,,2010,9.0,APROVADO POR MÉDIA,2
Beatriz Juliana,Design de Interacao Cultural,,2010,8.25,APROVADO POR MÉDIA,1
Beatriz Juliana,Design de Interacao Tangivel,,2011,9.5,APROVADO POR MÉDIA,2
Beatriz Juliana,Design de Interacao em Tempo Real,,2009,8.75,APROVADO POR MÉDIA,2
Beatriz Juliana,Design de Interfaces Neuromorficas,,2009,7.15,APROVADO POR MÉDIA,1
Beatriz Juliana,Design de Jogos,,2011,8.25,APROVADO POR MÉDIA,2
Beatriz Juliana,Design de Joias,,2009,8.3,APROVADO POR MÉDIA,1
Beatriz Juliana,Design de Mobiliario,,2008,10.0,APROVADO POR MÉDIA,1
Beatriz Juliana,Design de Narrativa Espacial,,2010,8.7,APROVADO POR MÉDIA,2
Beatriz Juliana,Design de Produto,,2009,8.0,APROVADO POR MÉDIA,2
Beatriz Juliana,Design de Realidade Aumentada (AR) e Virtual (VR),,2009,8.25,APROVADO POR MÉDIA,2
Beatriz Juliana,Design de Redes Sociais,,2011,9.75,APROVADO POR MÉDIA,1
Beatriz Juliana,Design de Tecnologia Vestivel (Wearable),,2008,9.25,APROVADO POR MÉDIA,2
Beatriz Juliana,Design de Visualizacao de Informacoes,,2008,2.38,REPROVADO,1
Beatriz Juliana,Design de Visualizacao de Informacoes,,2008,7.75,APROVADO POR MÉDIA,2
Beatriz Juliana,Design para Longevidade,,2008,5.13,APROVADO,1
Beatriz Juliana,Ecodesign,,2010,8.05,APROVADO POR MÉDIA,1
Beatriz Juliana,Ergonomia,,2009,7.82,APROVADO POR MÉDIA,1
Beatriz Juliana,Etica em Design,,2010,8.0,APROVADO POR MÉDIA,2
Beatriz Juliana,FORMADO,,2011,,,2
Beatriz Juliana,Gamificacao,,2009,7.25,APROVADO POR MÉDIA,1
Beatriz Juliana,Gestao de Marcas,,2010,10.0,APROVADO POR MÉDIA,2
Beatriz Juliana,INTEGRALIZADO,,2011,,,2
Beatriz Juliana,Identidade Visual,,2008,7.28,APROVADO,1
Beatriz Juliana,Impressao 3D,,2009,8.63,APROVADO POR MÉDIA,2
Beatriz Juliana,Interacao Tangivel,,2008,,APROVADO POR FREQÜÊNCIA,2
Beatriz Juliana,Manipulacao de Imagem,,2009,8.0,APROVADO POR MÉDIA,2
Beatriz Juliana,Marketing de Produto,,2009,8.75,APROVADO POR MÉDIA,2
Beatriz Juliana,Materiais e Processos,,2011,7.1,APROVADO POR MÉDIA,1
Beatriz Juliana,Modelagem 3D,,2010,8.75,APROVADO POR MÉDIA,2
Beatriz Juliana,Projeto Integrado,,2008,3.1,REPROVADO,2
Beatriz Juliana,Projeto Integrado,,2009,6.63,APROVADO,1
Beatriz Juliana,Prototipagem em Papel,,2010,8.0,APROVADO POR MÉDIA,1
Beatriz Juliana,SemiÃ³tica,,2011,8.25,APROVADO POR MÉDIA,2
Beatriz Juliana,Storytelling Visual,,2008,6.07,APROVADO,1
Beatriz Juliana,Tecnicas de Iluminacao,,2011,9.0,APROVADO POR MÉDIA,2
Beatriz Juliana,Teoria da Cor,,2011,9.25,APROVADO POR MÉDIA,1
Beatriz Juliana,Teoria do Design,,2011,8.1,APROVADO POR MÉDIA,1
Beatriz Juliana,Tipografia,,2009,9.0,APROVADO POR MÉDIA,2
Bianca Isabela,DESLIGAMENTO,,2011,,,1
Bruna Vinicius,Branding,Rafaela Gomes,2020,8.0,APROVADO POR MÉDIA,1
Bruna Vinicius,Computacao Grafica,Marcos Ferreira,2021,8.5,APROVADO POR MÉDIA,1
