nome,status
DOCENTE(S): -----------.,
Elisa Yuri,CURSANDO
Alice Amanda,FORMADO
Leonardo Caroline,REINTEGRAÇÃO
Clara Julia,DESVINCULADO
Guilherme Rafael,FORMADO
Carolina Diego,DESVINCULADO
Pedro Luiz,DESVINCULADO
Evelyn Guilherme,FORMADO
Diego Bianca,DESLIGAMENTO
Mateus Eduarda,CURSANDO
Arthur Enzo,FORMADO
Mauricio Maria,CURSANDO
Mateus Luan,CURSANDO
Matheus Luiz,FORMADO
Eduardo Viviane,DESVINCULADO
Melissa Lorena,DESLIGAMENTO
Viviane Alice,DESVINCULADO
Guilherme Leticia,FORMADO
Jose Larissa,DESVINCULADO
Julia Caua,FORMADO
Eloah Nathanael,FORMADO
Caroline Eduarda,FORMADO
Elisa Valentina,DESLIGAMENTO
Enzo Nicolas,DESLIGAMENTO
Pedro Daniel,DESVINCULADO
Renan Bruno,DESVINCULADO
Isabela Alice,DESLIGAMENTO
