nome,disciplina,nome_Docente,ano,nota,situacao,semestre
Alice Amanda,Branding,,2013,6.25,APROVADO,2
Alice Amanda,Computacao Grafica,,2012,9.5,APROVADO POR MÉDIA,2
Alice Amanda,Comunicacao Visual,,2015,8.0,APROVADO POR MÉDIA,2
Alice Amanda,Cultura Visual,,2014,8.55,APROVADO POR MÉDIA,1
Alice Amanda,DISCIPLINA,,ANO,NOTA FINAL,SITUAÇÃO CONCEITO,"SE
MES
TRE"
Alice Amanda,Design Biomimetico,,2015,9.5,APROVADO POR MÉDIA,2
Alice Amanda,Design Cenico,,2015,9.25,APROVADO POR MÉDIA,1
Alice Amanda,Design Cibernetico,,2014,8.9,APROVADO POR MÉDIA,1
Alice Amanda,Design Colaborativo,,2012,9.0,APROVADO POR MÉDIA,2
Alice Amanda,Design Computacional,,2014,7.45,APROVADO POR MÉDIA,2
Alice Amanda,Design Digital,,2015,8.88,APROVADO POR MÉDIA,1
Alice Amanda,Design Experimental,,2014,9.25,APROVADO POR MÉDIA,2
Alice Amanda,Design Parametrico,,2014,6.2,APROVADO,2
Alice Amanda,Design Sonoro,,2016,8.5,APROVADO POR MÉDIA,1
Alice Amanda,Design Thinking,,2013,7.0,APROVADO POR MÉDIA,2
Alice Amanda,Design de Aprendizado,,2013,7.35,APROVADO POR MÉDIA,1
Alice Amanda,Design de Apresentacoes,,2015,7.0,APROVADO POR MÉDIA,2
Alice Amanda,Design de Espacos Virtuais,,2014,8.45,APROVADO POR MÉDIA,2
Alice Amanda,Design de Experiencia em Museus,,2013,7.0,APROVADO POR MÉDIA,1
Alice Amanda,Design de Impressao e Publicacao,,2015,7.0,APROVADO POR MÉDIA,2
Alice Amanda,Design de Interacao Corporal,,2014,,REPROVADO POR FALTA,2
Alice Amanda,Design de Interacao Corporal,,2015,8.0,APROVADO POR MÉDIA,1
Alice Amanda,Design de Interacao Cultural,,2014,8.25,APROVADO POR MÉDIA,1
Alice Amanda,Design de Interacao Tangivel,,2016,7.0,APROVADO POR MÉDIA,1
Alice Amanda,Design de Interacao em Tempo Real,,2014,8.8,APROVADO POR MÉDIA,1
Alice Amanda,Design de Interfaces Neuromorficas,,2013,10.0,APROVADO POR MÉDIA,1
Alice Amanda,Design de Joias,,2013,9.8,APROVADO POR MÉDIA,2
Alice Amanda,Design de Mobiliario,,2012,,APROVADO POR FREQÜÊNCIA,2
Alice Amanda,Design de Moda,,2015,9.5,APROVADO POR MÉDIA,2
Alice Amanda,Design de Narrativa Espacial,,2014,8.5,APROVADO POR MÉDIA,2
Alice Amanda,Design de Produto,,2014,9.55,APROVADO POR MÉDIA,1
Alice Amanda,Design de Realidade Aumentada (AR) e Virtual (VR),,2014,8.75,APROVADO POR MÉDIA,1
Alice Amanda,Design de Redes Sociais,,2015,7.55,APROVADO POR MÉDIA,2
Alice Amanda,Design de Tecnologia Vestivel (Wearable),,2013,9.0,APROVADO POR MÉDIA,1
Alice Amanda,Design de Visualizacao de Informacoes,,2012,9.75,APROVADO POR MÉDIA,2
Alice Amanda,Design para Longevidade,,2012,7.5,APROVADO POR MÉDIA,2
Alice Amanda,Ecodesign,,2014,7.25,APROVADO POR MÉDIA,1
Alice Amanda,Ergonomia,,2013,8.13,APROVADO POR MÉDIA,1
Alice Amanda,Etica em Design,,2015,7.75,APROVADO POR MÉDIA,1
Alice Amanda,FORMADO,,2016,,,2
Alice Amanda,Gamificacao,,2013,8.25,APROVADO POR MÉDIA,2
Alice Amanda,Gestao de Marcas,,2015,5.63,APROVADO,1
Alice Amanda,INTEGRALIZADO,,2016,,,1
Alice Amanda,Identidade Visual,,2012,9.0,APROVADO POR MÉDIA,2
Alice Amanda,Impressao 3D,,2013,9.25,APROVADO POR MÉDIA,2
Alice Amanda,Interacao Tangivel,,2014,8.0,APROVADO POR MÉDIA,2
Alice Amanda,Manipulacao de Imagem,,2013,8.1,APROVADO POR MÉDIA,2
Alice Amanda,Marketing de Produto,,2013,9.0,APROVADO POR MÉDIA,2
Alice Amanda,Materiais e Processos,,2016,7.0,APROVADO POR MÉDIA,1
Alice Amanda,Projeto Integrado,,2013,8.05,APROVADO POR MÉDIA,1
Alice Amanda,Prototipagem em Papel,,2014,9.7,APROVADO POR MÉDIA,1
Alice Amanda,SemiÃ³tica,,2016,7.0,APROVADO POR MÉDIA,1
Alice Amanda,Storytelling Visual,,2012,7.0,APROVADO POR MÉDIA,2
Alice Amanda,Tecnicas de Iluminacao,,2016,9.5,APROVADO POR MÉDIA,1
Alice Amanda,Teoria da Cor,,2015,10.0,APROVADO POR MÉDIA,2
Alice Amanda,Teoria do Design,,2015,9.9,APROVADO POR MÉDIA,2
Alice Amanda,Tipografia,,2013,6.25,APROVADO,2
Arthur Enzo,Branding,,2011,7.15,APROVADO POR MÉDIA,2
Arthur Enzo,Computacao Grafica,,2010,8.75,APROVADO POR MÉDIA,2
Arthur Enzo,Comunicacao Visual,,2013,10.0,APROVADO POR MÉDIA,2
Arthur Enzo,Cultura Visual,,2011,7.0,APROVADO POR MÉDIA,2
Arthur Enzo,DISCIPLINA,,ANO,NOTA FINAL,SITUAÇÃO CONCEITO,"SE
MES
TRE"
Arthur Enzo,Design Biomimetico,,2013,9.5,APROVADO POR MÉDIA,2
Arthur Enzo,Design Cenico,,2013,8.1,APROVADO POR MÉDIA,1
Arthur Enzo,Design Cibernetico,,2012,7.25,APROVADO POR MÉDIA,2
Arthur Enzo,Design Colaborativo,,2010,5.0,APROVADO,2
Arthur Enzo,Design Computacional,,2013,9.1,APROVADO POR MÉDIA,1
Arthur Enzo,Design Digital,,2013,8.3,APROVADO POR MÉDIA,1
Arthur Enzo,Design Experimental,,2012,8.9,APROVADO POR MÉDIA,2
Arthur Enzo,Design Parametrico,,2012,7.25,APROVADO POR MÉDIA,2
Arthur Enzo,Design Sonoro,,2013,7.0,APROVADO POR MÉDIA,1
Arthur Enzo,Design Thinking,,2012,7.0,APROVADO POR MÉDIA,2
Arthur Enzo,Design de Aprendizado,,2011,8.0,APROVADO POR MÉDIA,1
Arthur Enzo,Design de Apresentacoes,,2013,8.75,APROVADO POR MÉDIA,1
Arthur Enzo,Design de Espacos Virtuais,,2012,5.65,APROVADO,2
Arthur Enzo,Design de Experiencia em Museus,,2011,9.0,APROVADO POR MÉDIA,1
Arthur Enzo,Design de Impacto Social,,2014,7.25,APROVADO POR MÉDIA,1
Arthur Enzo,Design de Impressao e Publicacao,,2013,8.75,APROVADO POR MÉDIA,2
Arthur Enzo,Design de Interacao Corporal,,2013,8.32,APROVADO POR MÉDIA,1
Arthur Enzo,Design de Interacao Cultural,,2012,8.5,APROVADO POR MÉDIA,2
Arthur Enzo,Design de Interacao Tangivel,,2013,10.0,APROVADO POR MÉDIA,2
Arthur Enzo,Design de Interacao em Tempo Real,,2012,7.25,APROVADO POR MÉDIA,1
Arthur Enzo,Design de Interfaces Neuromorficas,,2011,4.68,REPROVADO,1
Arthur Enzo,Design de Interfaces Neuromorficas,,2011,8.25,APROVADO POR MÉDIA,2
Arthur Enzo,Design de Joias,,2011,8.5,APROVADO POR MÉDIA,2
Arthur Enzo,Design de Mobiliario,,2010,,APROVADO POR FREQÜÊNCIA,2
Arthur Enzo,Design de Moda,,2014,10.0,APROVADO POR MÉDIA,1
Arthur Enzo,Design de Narrativa Espacial,,2013,8.5,APROVADO POR MÉDIA,1
Arthur Enzo,Design de Produto,,2012,7.5,APROVADO POR MÉDIA,1
Arthur Enzo,Design de Realidade Aumentada (AR) e Virtual (VR),,2012,7.5,APROVADO POR MÉDIA,2
Arthur Enzo,Design de Redes Sociais,,2013,7.0,APROVADO POR MÉDIA,2
Arthur Enzo,Design de Tecnologia Vestivel (Wearable),,2011,7.75,APROVADO POR MÉDIA,1
