nome,status
Luciana Fernando,DESVINCULADO
Jose Rafael,FORMADO
Leandro Leonardo,DESLIGAMENTO
Isabela Viviane,FORMADO
Caroline Juliana,FORMADO
Juliana Larissa,DESVINCULADO
Elisa Vitoria,DESVINCULADO
Gustavo Emilly,DESLIGAMENTO
Caio Sophie,DESLIGAMENTO
Leonardo Isadora,DESLIGAMENTO
Maria Catarina,FORMADO
Marcos Alice,DESVINCULADO
Maria Caroline,DESLIGAMENTO
Pablo Luana,DESVINCULADO
Miguel Joao,REINTEGRAÇÃO
Guilherme Livia,FORMADO
Michele Luana,CURSANDO
Julia Guilherme,DESVINCULADO
Elisa Valentina,DESVINCULADO
Sophie Maria,FORMADO
Thiago Ricardo,FORMADO
Valentina Eduardo,CURSANDO
Melissa Raul,CURSANDO
Nathanael Helena,DESLIGAMENTO
Valeria Lorena,DESVINCULADO
Otavio Eduarda,REINTEGRAÇÃO
Vinicius Hugo,FORMADO
Carolina Gabriel,DESLIGAMENTO
Luciana Emilly,DESVINCULADO
Julia Manuela,DESVINCULADO
Vinicius Gustavo,CURSANDO
Gabriel Guilherme,CURSANDO
Manuela Pedro,DESLIGAMENTO
