nome_aluno,forma_ingresso
Luciana Fernando,VESTIBULAR
Jose Rafael,VESTIBULAR
Leandro Leonardo,VESTIBULAR
Isabela Viviane,VESTIBULAR
Caroline Juliana,VESTIBULAR
Juliana Larissa,VESTIBULAR
Elisa Vitoria,VESTIBULAR
Gustavo Emilly,VESTIBULAR
Caio Sophie,VESTIBULAR
Leonardo Isadora,VESTIBULAR
Maria Catarina,VESTIBULAR
Marcos Alice,VESTIBULAR
Maria Caroline,VESTIBULAR
Pablo Luana,VESTIBULAR
Miguel Joao,VESTIBULAR
Guilherme Livia,VESTIBULAR
Michele Luana,VESTIBULAR
Julia Guilherme,VESTIBULAR
Elisa Valentina,VESTIBULAR
Sophie Maria,VESTIBULAR
Thiago Ricardo,VESTIBULAR
Valentina Eduardo,VESTIBULAR
Melissa Raul,VESTIBULAR
Nathanael Helena,VESTIBULAR
Valeria Lorena,VESTIBULAR
Otavio Eduarda,VESTIBULAR
Vinicius Hugo,VESTIBULAR
Carolina Gabriel,VESTIBULAR
Luciana Emilly,VESTIBULAR
Julia Manuela,VESTIBULAR
Vinicius Gustavo,VESTIBULAR
Gabriel Guilherme,VESTIBULAR
Manuela Pedro,VESTIBULAR
