nome,disciplina,ano,nota,situacao,semestre
Nathanael Marcelo,Storytelling Visual,2007,5.63,APROVADO,2
Nathanael Marcelo,Design Colaborativo,2007,5.0,APROVADO,2
Nathanael Marcelo,Computacao Grafica,2007,7.38,APROVADO,2
Nathanael Marcelo,Design para Longevidade,2007,5.5,APROVADO,2
Nathanael Marcelo,Design de Mobiliario,2007,8.0,APROVADO POR MÉDIA,2
Nathanael Marcelo,Design de Visualizacao de Informacoes,2007,2.95,REPROVADO,2
Nathanael Marcelo,Identidade Visual,2007,7.95,APROVADO POR MÉDIA,2
Nathanael Marcelo,Design de Aprendizado,2008,,REPROVADO POR FALTA,1
Nathanael Marcelo,Projeto Integrado,2008,,REPROVADO POR FALTA,1
Nathanael Marcelo,Design de Tecnologia Vestivel (Wearable),2008,8.5,APROVADO POR MÉDIA,1
Nathanael Marcelo,Design de Visualizacao de Informacoes,2008,6.13,APROVADO,1
Nathanael Marcelo,Ergonomia,2008,7.1,APROVADO POR MÉDIA,1
Nathanael Marcelo,Projeto Integrado,2008,,REPROVADO POR FALTA,2
Nathanael Marcelo,Gamificacao,2008,8.5,APROVADO POR MÉDIA,2
Nathanael Marcelo,Design de Interfaces Neuromorficas,2008,7.4,APROVADO POR MÉDIA,2
Nathanael Marcelo,Design de Experiencia em Museus,2008,3.38,REPROVADO,2
Nathanael Marcelo,Design de Joias,2008,7.19,APROVADO,2
Nathanael Marcelo,Interacao Tangivel,2008,,APROVADO POR FREQÜÊNCIA,2
Nathanael Marcelo,Branding,2008,7.5,APROVADO POR MÉDIA,2
Nathanael Marcelo,Ecodesign,2009,,REPROVADO POR FALTA,1
Nathanael Marcelo,Design de Interacao em Tempo Real,2009,7.5,APROVADO POR MÉDIA,1
Nathanael Marcelo,Design de Realidade Aumentada (AR) e Virtual (VR),2009,8.0,APROVADO POR MÉDIA,1
Nathanael Marcelo,Projeto Integrado,2009,5.0,APROVADO,1
Nathanael Marcelo,Impressao 3D,2009,,REPROVADO POR FALTA,1
Nathanael Marcelo,Design de Experiencia em Museus,2009,7.25,APROVADO POR MÉDIA,1
Nathanael Marcelo,Cultura Visual,2009,7.75,APROVADO POR MÉDIA,1
Nathanael Marcelo,Design Biomimetico,2009,,REPROVADO POR FALTA,2
Nathanael Marcelo,Marketing de Produto,2009,9.5,APROVADO POR MÉDIA,2
Nathanael Marcelo,Design Parametrico,2009,,REPROVADO POR FALTA,2
Nathanael Marcelo,Design Thinking,2010,,REPROVADO POR FALTA,1
Nathanael Marcelo,Tipografia,2010,,REPROVADO POR FALTA,1
Nathanael Marcelo,Design de Produto,2010,,REPROVADO POR FALTA,1
Nathanael Marcelo,Design de Aprendizado,2010,,REPROVADO POR FALTA,2
Nathanael Marcelo,Gestao de Marcas,2010,,REPROVADO POR FALTA,2
Nathanael Marcelo,Design de Produto,2010,,REPROVADO POR FALTA,2
Nathanael Marcelo,Ecodesign,2011,,REPROVADO POR FALTA,1
Nathanael Marcelo,Design de Apresentacoes,2011,,REPROVADO POR FALTA,1
Nathanael Marcelo,Design Biomimetico,2011,,REPROVADO POR FALTA,1
Nathanael Marcelo,Design Experimental,2011,,REPROVADO POR FALTA,1
Nathanael Marcelo,Impressao 3D,2011,,REPROVADO POR FALTA,1
Nathanael Marcelo,Tipografia,2011,,REPROVADO POR FALTA,1
Nathanael Marcelo,Gestao de Marcas,2011,,REPROVADO POR FALTA,1
Nathanael Marcelo,Design de Espacos Virtuais,2011,,REPROVADO POR FALTA,1
Nathanael Marcelo,DISCIPLINA,ANO,NOTA FINAL,SITUAÇÃO CONCEITO,"SE
MES
TRE"
Nathanael Marcelo,DESLIGAMENTO,2011,,,2
Bruno Miguel,Storytelling Visual,2011,7.75,APROVADO POR MÉDIA,2
Bruno Miguel,Design Colaborativo,2011,8.9,APROVADO POR MÉDIA,2
Bruno Miguel,Computacao Grafica,2011,7.0,APROVADO POR MÉDIA,2
Bruno Miguel,Design para Longevidade,2011,9.5,APROVADO POR MÉDIA,2
Bruno Miguel,Design de Mobiliario,2011,,APROVADO POR FREQÜÊNCIA,2
Bruno Miguel,Design de Visualizacao de Informacoes,2011,10.0,APROVADO POR MÉDIA,2
Bruno Miguel,Identidade Visual,2011,8.75,APROVADO POR MÉDIA,2
Bruno Miguel,Design de Aprendizado,2012,9.0,APROVADO POR MÉDIA,1
Bruno Miguel,Projeto Integrado,2012,8.9,APROVADO POR MÉDIA,1
Bruno Miguel,Design de Tecnologia Vestivel (Wearable),2012,7.0,APROVADO POR MÉDIA,1
Bruno Miguel,Gamificacao,2012,8.0,APROVADO POR MÉDIA,1
Bruno Miguel,Design de Interfaces Neuromorficas,2012,9.45,APROVADO POR MÉDIA,1
Bruno Miguel,Design de Experiencia em Museus,2012,8.5,APROVADO POR MÉDIA,1
Bruno Miguel,Ergonomia,2012,9.0,APROVADO POR MÉDIA,1
Bruno Miguel,Manipulacao de Imagem,2012,8.5,APROVADO POR MÉDIA,2
Bruno Miguel,Impressao 3D,2012,9.07,APROVADO POR MÉDIA,2
Bruno Miguel,Cultura Visual,2012,,CANCELADO COM ONUS,2
Bruno Miguel,Tipografia,2012,7.6,APROVADO POR MÉDIA,2
Bruno Miguel,Design de Joias,2012,9.3,APROVADO POR MÉDIA,2
Bruno Miguel,Marketing de Produto,2012,7.5,APROVADO POR MÉDIA,2
