nome_aluno,forma_ingresso
Nathanael Marcelo,VESTIBULAR
Bruno Miguel,VESTIBULAR
Vitor Alice,VESTIBULAR
Carolina Luciana,SISU
Lais Eduarda,VESTIBULAR
Leonardo Leticia,VESTIBULAR
Evelyn Mateus,VESTIBULAR
Matheus Matheus,VESTIBULAR
Lucas Elisa,VESTIBULAR
Mauricio Daniel,VESTIBULAR
Enzo Nathanael,VESTIBULAR
Guilherme Lara,VESTIBULAR
Camila Amanda,VESTIBULAR
Ricardo Vanessa,VESTIBULAR
Diego Marcelo,VESTIBULAR
Eduardo Elisa,VESTIBULAR
Fernando Sophie,VESTIBULAR
Leonardo Thales,VESTIBULAR
Luciana Yuri,VESTIBULAR
Catarina Julia,VESTIBULAR
Caua Evelyn,VESTIBULAR
