nome,status
Beatriz Raul,DESLIGAMENTO
Carolina Catarina,DESVINCULADO
Yuri Maria,CURSANDO
Maria Bianca,DESVINCULADO
Valentina Gabriel,FORMADO
Vitoria Thiago,DESVINCULADO
Sophie Luiz,DESVINCULADO
Juliana Eduarda,FORMADO
Renato Miguel,CURSANDO
Pablo Vinicius,FORMADO
Manuela Renato,DESLIGAMENTO
Elisa Valentina,DESLIGAMENTO
Vinicius Vitoria,DESVINCULADO
Paula Luciana,DESVINCULADO
Livia Camila,DESLIGAMENTO
Julia Felipe,DESVINCULADO
Lorena Luiz,CURSANDO
Bruna Yuri,CURSANDO
Eduarda Melissa,FORMADO
Wagner Raul,CURSANDO
Lucas Marcelo,DESVINCULADO
Vinicius Matheus,DESVINCULADO
Ricardo Luana,FORMADO
Jose Sophia,FORMADO
