nome,status
Nathanael Marcelo,DESLIGAMENTO
Bruno Miguel,FORMADO
Vitor Alice,DESVINCULADO
Carolina Luciana,DESLIGAMENTO
Lais Eduarda,FORMADO
Leonardo Leticia,FORMADO
Evelyn Mateus,DESVINCULADO
Matheus Matheus,CURSANDO
Lucas Elisa,FORMADO
Mauricio Daniel,DESLIGAMENTO
Enzo Nathanael,DESVINCULADO
Guilherme Lara,DESVINCULADO
Camila Amanda,FORMADO
Ricardo Vanessa,DESVINCULADO
Diego Marcelo,FORMADO
Eduardo Elisa,DESVINCULADO
Fernando Sophie,DESVINCULADO
Leonardo Thales,DESLIGAMENTO
Luciana Yuri,FORMADO
Catarina Julia,CURSANDO
Caua Evelyn,DESLIGAMENTO
