nome,status
Alana Luciana,
Miguel Vinicius,CURSANDO
Enzo Vinicius,DESLIGAMENTO
Laura Melissa,DESLIGAMENTO
Diego Alice,DESVINCULADO
Renato Arthur,CURSANDO
Catarina Wagner,DESLIGAMENTO
Caua Diego,CURSANDO
Vitor Hugo,DESLIGAMENTO
Paula Yuri,DESLIGAMENTO
Laura Isadora,DESVINCULADO
Caio Vinicius,FORMADO
Beatriz Amanda,DESLIGAMENTO
Vinicius Carolina,DESVINCULADO
Fernanda Daniel,DESVINCULADO
Eloah Juliana,DESLIGAMENTO
Paula Larissa,DESVINCULADO
Thales Paula,DESVINCULADO
Bruna Fernando,FORMADO
Renan Diego,FORMADO
Lara Isadora,FORMADO
Luciana Felipe,DESVINCULADO
Leandro Eloah,DESLIGAMENTO
Maria Guilhermina,FORMADO
Julia Thales,DESLIGAMENTO
Luciana Bruno,DESVINCULADO
