nome_aluno,forma_ingresso
Alana Luciana,VESTIBULAR
Miguel Vinicius,VESTIBULAR
Enzo Vinicius,VESTIBULAR
Laura Melissa,VESTIBULAR
Diego Alice,VESTIBULAR
Renato Arthur,VESTIBULAR
Catarina Wagner,VESTIBULAR
Caua Diego,VESTIBULAR
Vitor Hugo,VESTIBULAR
Paula Yuri,VESTIBULAR
Laura Isadora,VESTIBULAR
Caio Vinicius,VESTIBULAR
Beatriz Amanda,VESTIBULAR
Vinicius Carolina,VESTIBULAR
Fernanda Daniel,VESTIBULAR
Eloah Juliana,VESTIBULAR
Paula Larissa,VESTIBULAR
Thales Paula,VESTIBULAR
Bruna Fernando,VESTIBULAR
Renan Diego,VESTIBULAR
Lara Isadora,VESTIBULAR
Luciana Felipe,VESTIBULAR
Leandro Eloah,VESTIBULAR
Maria Guilhermina,VESTIBULAR
Julia Thales,VESTIBULAR
Luciana Bruno,VESTIBULAR
