nome_aluno,forma_ingresso
Cecilia Renan,VESTIBULAR
Sophia Julia,VESTIBULAR
Mateus Beatriz,VESTIBULAR
Arthur Leticia,VESTIBULAR
Julia Daniel,VESTIBULAR
Ricardo Lais,VESTIBULAR
Yuri Michele,VESTIBULAR
Alana Alice,VESTIBULAR
Lorena Nicolas,VESTIBULAR
Elisa Manuela,VESTIBULAR
Leandro Lorena,VESTIBULAR
Evelyn Leticia,VESTIBULAR
Thales Luca,VESTIBULAR
Thales Rodrigo,VESTIBULAR
Laura Yuri,VESTIBULAR
Rodrigo Diego,VESTIBULAR
Valentina Paula,VESTIBULAR
Thales Mauricio,VESTIBULAR
Elisa Valentina,VESTIBULAR
Otavio Clara,VESTIBULAR
Beatriz Pablo,VESTIBULAR
Hugo Camila,VESTIBULAR
Evelyn Bruna,VESTIBULAR
Fernanda Vitor,VESTIBULAR
Diego Leticia,VESTIBULAR
Vitor Vitor,VESTIBULAR
Enzo Bruno,VESTIBULAR
