nome,status
Cecilia Renan,FORMADO
Sophia Julia,FORMADO
Mateus Beatriz,FORMADO
Arthur Leticia,DESVINCULADO
Julia Daniel,DESLIGAMENTO
Ricardo Lais,DESVINCULADO
Yuri Michele,FORMADO
Alana Alice,DESLIGAMENTO
Lorena Nicolas,CURSANDO
Elisa Manuela,REINTEGRAÇÃO
Leandro Lorena,DESLIGAMENTO
Evelyn Leticia,DESVINCULADO
Thales Luca,DESLIGAMENTO
Thales Rodrigo,DESLIGAMENTO
Laura Yuri,DESVINCULADO
Rodrigo Diego,DESLIGAMENTO
Valentina Paula,FORMADO
Thales Mauricio,FORMADO
Elisa Valentina,FORMADO
Otavio Clara,DESVINCULADO
Beatriz Pablo,DESVINCULADO
Hugo Camila,CURSANDO
Evelyn Bruna,DESVINCULADO
Fernanda Vitor,CURSANDO
Diego Leticia,DESVINCULADO
Vitor Vitor,DESVINCULADO
Enzo Bruno,FORMADO
