nome,status
Nathanael Nicolas,FORMADO
Marcos Sofia,DESVINCULADO
Sofia Luca,DESVINCULADO
Lorena Carolina,CURSANDO
Fernando Vitoria,CURSANDO
Fernanda Pedro,DESLIGAMENTO
Elisa Valentina,CURSANDO
Viviane Viviane,DESVINCULADO
Isabela Bianca,FORMADO
Evelyn Paula,DESLIGAMENTO
Mauricio Guilhermina,FORMADO
Camila Bruna,DESVINCULADO
Livia Gabriel,DESVINCULADO
Melissa Amanda,FORMADO
Lais Luana,FORMADO
Carolina Lorena,FORMADO
Yuri Leandro,DESVINCULADO
Alice Marcos,FORMADO
Leticia Alana,DESLIGAMENTO
Eduarda Maria,FORMADO
Enzo Marcelo,FORMADO
Marcelo Luana,DESVINCULADO
Lorena Amanda,DESLIGAMENTO
Raul Mariana,DESVINCULADO
Elisa Renato,DESVINCULADO
Diego Isabela,FORMADO
Roberto Roberto,FORMADO
Amanda Mauricio,DESLIGAMENTO
Valentina Pedro,FORMADO
Arthur Alana,FORMADO
Thales Ricardo,DESLIGAMENTO
Leticia Mateus,DESLIGAMENTO
Isabela Paula,DESLIGAMENTO
