nome_aluno,forma_ingresso
Thales Matheus,VESTIBULAR
Amanda Gustavo,VESTIBULAR
Helena Fernando,VESTIBULAR
Paula Helena,VESTIBULAR
Caua Juliana,VESTIBULAR
Renan Miguel,VESTIBULAR
Rafael Raul,VESTIBULAR
Felipe Marcelo,VESTIBULAR
Bruno Lais,VESTIBULAR
DOCENTE(S): -----------.,VESTIBULAR
Roberto Wagner,VESTIBULAR
Amanda Diego,VESTIBULAR
Raul Amanda,VESTIBULAR
Lucas Mauricio,VESTIBULAR
Sophia Fernanda,VESTIBULAR
Mariana Larissa,VESTIBULAR
Luana Viviane,VESTIBULAR
Daniel Luana,VESTIBULAR
Felipe Elisa,VESTIBULAR
Guilhermina Evelyn,VESTIBULAR
Hugo Vitoria,VESTIBULAR
Melissa Pablo,VESTIBULAR
Alana Amanda,VESTIBULAR
Alice Isadora,VESTIBULAR
Diego Emilly,VESTIBULAR
Sofia Michele,VESTIBULAR
Wagner Sofia,VESTIBULAR
Cecilia Lorena,VESTIBULAR
Diego Rafael,VESTIBULAR
Caua Caroline,VESTIBULAR
